REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMCSPN2,1,2036,DKBM,S01B1,43.09519575724787
REGION1,DKBMCSPN2,1,2036,DKBM,S01B2,43.09519575724787
REGION1,DKBMCSPN2,1,2036,DKBM,S01B3,43.09519575724787
REGION1,DKBMCSPN2,1,2036,DKBM,S02B1,43.09519575724787
REGION1,DKBMCSPN2,1,2036,DKBM,S02B2,23.003444448457305
REGION1,DKBMCSPN2,1,2036,DKBM,S02B3,43.09519575724787
REGION1,DKBMCSPN2,1,2036,DKBM,S03B1,43.09519575724787
REGION1,DKBMCSPN2,1,2036,DKBM,S03B2,43.09519575724787
REGION1,DKBMCSPN2,1,2036,DKBM,S04B2,43.09519575724787
REGION1,DKBMCSPN2,1,2036,DKBM,S05B1,43.09519575724787
REGION1,DKBMCSPN2,1,2036,DKBM,S05B2,43.09519575724787
REGION1,DKBMCSPN2,1,2037,DKBM,S01B1,46.22531558643866
REGION1,DKBMCSPN2,1,2037,DKBM,S01B2,46.22531558643866
REGION1,DKBMCSPN2,1,2037,DKBM,S01B3,13.846949284892725
REGION1,DKBMCSPN2,1,2037,DKBM,S02B1,46.22531558643866
REGION1,DKBMCSPN2,1,2037,DKBM,S02B3,46.22531558643866
REGION1,DKBMCSPN2,1,2037,DKBM,S03B1,46.22531558643866
REGION1,DKBMCSPN2,1,2037,DKBM,S03B2,46.22531558643866
REGION1,DKBMCSPN2,1,2037,DKBM,S03B3,46.22531558643866
REGION1,DKBMCSPN2,1,2037,DKBM,S04B2,38.82062028068202
REGION1,DKBMCSPN2,1,2037,DKBM,S05B1,46.22531558643866
REGION1,DKBMCSPN2,1,2037,DKBM,S05B2,46.22531558643866
REGION1,DKBMCSPN2,1,2038,DKBM,S01B1,50.06905427651672
REGION1,DKBMCSPN2,1,2038,DKBM,S01B2,50.06905427651672
REGION1,DKBMCSPN2,1,2038,DKBM,S01B3,50.06905427651672
REGION1,DKBMCSPN2,1,2038,DKBM,S02B2,24.52476635698997
REGION1,DKBMCSPN2,1,2038,DKBM,S02B3,50.06905427651672
REGION1,DKBMCSPN2,1,2038,DKBM,S03B1,42.60442472840089
REGION1,DKBMCSPN2,1,2038,DKBM,S03B2,50.06905427651672
REGION1,DKBMCSPN2,1,2038,DKBM,S03B3,50.06905427651672
REGION1,DKBMCSPN2,1,2038,DKBM,S04B1,38.34773159584463
REGION1,DKBMCSPN2,1,2038,DKBM,S04B2,36.52211315098715
REGION1,DKBMCSPN2,1,2038,DKBM,S05B2,44.51378233596725
REGION1,DKBMCSPN2,1,2038,DKBM,S05B3,50.06905427651672
REGION1,DKBMCSPN2,1,2039,DKBM,S01B1,38.37645452234764
REGION1,DKBMCSPN2,1,2039,DKBM,S01B2,56.18072255132836
REGION1,DKBMCSPN2,1,2039,DKBM,S01B3,56.18072255132836
REGION1,DKBMCSPN2,1,2039,DKBM,S02B2,17.11065598690956
REGION1,DKBMCSPN2,1,2039,DKBM,S02B3,56.18072255132836
REGION1,DKBMCSPN2,1,2039,DKBM,S03B1,48.61937701566681
REGION1,DKBMCSPN2,1,2039,DKBM,S03B2,56.18072255132836
REGION1,DKBMCSPN2,1,2039,DKBM,S03B3,56.18072255132836
REGION1,DKBMCSPN2,1,2039,DKBM,S04B1,56.18072255132836
REGION1,DKBMCSPN2,1,2039,DKBM,S04B2,40.52748531093458
REGION1,DKBMCSPN2,1,2039,DKBM,S05B1,27.21601967790402
REGION1,DKBMCSPN2,1,2039,DKBM,S05B2,54.55421164855798
REGION1,DKBMCSPN2,1,2039,DKBM,S05B3,56.18072255132836
REGION1,DKBMCSPN2,1,2040,DKBM,S01B1,0.7629539682420837
REGION1,DKBMCSPN2,1,2040,DKBM,S01B2,64.5749264358913
REGION1,DKBMCSPN2,1,2040,DKBM,S01B3,52.19209551489027
