TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2017,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2017,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2017,REGION1,DKBMSTPH3,1,0.7047806905521914
S01B1,2017,REGION1,DKCOSTPH1,1,0.23639039763609543
S01B1,2017,REGION1,DKEL00TD0,1,4.409695916907436
S01B1,2017,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2017,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2017,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2017,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2017,REGION1,DKWS00X00,1,1.2445556918130003
S01B1,2017,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2017,REGION1,FICOSTPH3,1,3.7078732429212584
S01B1,2017,REGION1,FIEL00TD0,1,13.897305095685185
S01B1,2017,REGION1,FIELSEPH1,2,0.5972859665898125
S01B1,2017,REGION1,FIHYDMPH1,1,0.13656561518423152
S01B1,2017,REGION1,FIHYDMPH2,1,1.0281536884627807
S01B1,2017,REGION1,FINGSTPH2,1,0.024330239756697545
S01B1,2017,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2017,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2017,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2017,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2017,REGION1,FIWS00X00,1,0.47343418662565695
S01B1,2017,REGION1,NOCOSTPH1,1,0.005529599944703987
S01B1,2017,REGION1,NOEL00TD0,1,21.998823911676023
S01B1,2017,REGION1,NOELSEPH1,2,0.16251446574472006
S01B1,2017,REGION1,NOHYDMPH1,1,1.7431831456683242
S01B1,2017,REGION1,NOHYDMPH2,1,11.253295954385413
S01B1,2017,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2017,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2017,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2017,REGION1,NOWIOFPH3,1,0.002006277099937224
