REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DKCOSTPH1,DKPM25,1,2020,0.011620383168281656
REGION1,DKCOSTPH1,DKPM25,1,2021,0.0019426174603313063
REGION1,DKHYDMPH0,DKHO,1,2015,0.07999995404822358
REGION1,DKHYDMPH0,DKHO,1,2016,0.07999995404822358
REGION1,DKHYDMPH0,DKHO,1,2017,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2018,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2019,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2020,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2021,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2022,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2023,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2024,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2025,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2026,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2027,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2028,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2029,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2030,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2031,0.022035464227820836
REGION1,DKHYDMPH0,DKHO,1,2032,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2033,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2034,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2035,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2036,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2037,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2038,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2039,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2040,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2041,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2042,0.022035464592726303
REGION1,DKHYDMPH0,DKHO,1,2043,0.022035464592726303
REGION1,DKHYDMPH0,DKHO,1,2044,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2045,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2046,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2047,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2048,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2049,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2050,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2051,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,1,2052,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2053,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2054,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2055,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2056,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2057,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2058,0.022035464296370277
REGION1,DKHYDMPH0,DKHO,1,2059,0.021015590072274652
REGION1,DKHYDMPH0,DKHO,1,2060,0.021015590006897903
REGION1,DKHYDMPH3,DKHO,1,2018,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2019,0.05796450325609176
REGION1,DKHYDMPH3,DKHO,1,2020,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2021,0.057964503256090864
REGION1,DKHYDMPH3,DKHO,1,2022,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2023,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,1,2024,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,1,2025,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,1,2026,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,1,2027,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,1,2028,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2029,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2030,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2031,0.0579645030757709
REGION1,DKHYDMPH3,DKHO,1,2032,0.05796450307577091
REGION1,DKHYDMPH3,DKHO,1,2033,0.05796450307577091
REGION1,DKHYDMPH3,DKHO,1,2034,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2035,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,1,2036,0.05796450325609088
