emissions
ATHY
ATPM25
ATSO
ATWI
BEHO
BEPM25
BESO
BEWI
BGHO
BGPM25
BGSO
BGWI
CHHY
CHPM25
CHSO
CHWI
CYPM25
CYSO
CYWI
CZHO
CZPM25
CZSO
CZWI
DEHO
DEPM25
DESO
DEWI
EEHO
EEPM25
EESO
EEWI
ESHO
ESPM25
ESSO
ESWI
FRHO
FRPM25
FRSO
FRWI
GRHY
GRPM25
GRSO
GRWI
HRHY
HRPM25
HRSO
HRWI
HUHO
HUPM25
HUSO
HUWI
IEHO
IEPM25
IESO
IEWI
ITHO
ITPM25
ITSO
ITWI
LTHO
LTPM25
LTSO
LTWI
LUHO
LUPM25
LUSO
LUWI
LVHO
LVPM25
LVWI
MTPM25
MTSO
MTWI
NLHO
NLPM25
NLSO
NLWI
PLHO
PLPM25
PLSO
PLWI
PTHO
PTPM25
PTSO
PTWI
ROHY
ROPM25
ROSO
ROWI
SIHO
SIPM25
SISO
SIWI
SKHO
SKPM25
SKSO
SKWI
UKC2
UKHO
UKPM25
UKSO
UKWI
BGWO
DEWO
EEWO
ESWO
FRWO
GRWO
HRWO
IEWO
ITWO
LTWO
LVWO
NLWO
PLWO
PTWO
ROWO
UKWO
BMIM
LVSO
