REGION,TECHNOLOGY,YEAR,VALUE
REGION1,Finland (FI)| Nuclear (NU)| Generation 3 (G3)| Primary energy commodity (P)| New (N)| size 3,2018,1.72
REGION1,Finland (FI)| Nuclear (NU)| Generation 3 (G3)| Primary energy commodity (P)| New (N)| size 3,2024,1.2
