VALUE
Finland (FI)| Biomass (BM)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Finland (FI)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1
Finland (FI)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Finland (FI)| Biomass (BM)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Coal (CO)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Finland (FI)| Coal (CO)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Finland (FI)| Coal (CO)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Coal (CO)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Finland (FI)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1
Finland (FI)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Electricity (EL)| unspecified (00)| Unknown energy level (T)| Unknown age (D)| size 0
Finland (FI)| Electricity (EL)| connected to Norway (NO)| Primary energy commodity (P)| Historic (H)| size 1
Finland (FI)| Electricity (EL)| connected to Sweden (SE)| Primary energy commodity (P)| Historic (H)| size 1
Finland (FI)| Geothermal (GO)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Finland (FI)| Geothermal (GO)| Conventional (CV)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Heavy fuel oil (HF)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Finland (FI)| Heavy fuel oil (HF)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Heavy fuel oil (HF)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 3
Finland (FI)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Finland (FI)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2
Finland (FI)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Finland (FI)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 0
Finland (FI)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 1
