REGION,TECHNOLOGY,VALUE
REGION1,Finland (FI)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Finland (FI)| Electricity (EL)| connected to Norway (NO)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Finland (FI)| Electricity (EL)| connected to Sweden (SE)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Finland (FI)| Geothermal (GO)| Conventional (CV)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Heavy fuel oil (HF)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Heavy fuel oil (HF)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Finland (FI)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Finland (FI)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Finland (FI)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Finland (FI)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Finland (FI)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 0,31.536
REGION1,Finland (FI)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Finland (FI)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Finland (FI)| Natural gas (NG)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Finland (FI)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Finland (FI)| Natural gas (NG)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Finland (FI)| Natural gas (NG)| Fuel cell (FC)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Finland (FI)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Finland (FI)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Finland (FI)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Natural gas (NG)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Nuclear (NU)| Generation 2 (G2)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Finland (FI)| Nuclear (NU)| Generation 3 (G3)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Finland (FI)| Ocean (OC)| Wave power (WV)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Finland (FI)| Sun (SO)| Distributed PV (DI)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Finland (FI)| Sun (SO)| Utility PV (UT)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Finland (FI)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Finland (FI)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Finland (FI)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Finland (FI)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Finland (FI)| Waste (WS)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Finland (FI)| Waste (WS)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Biofuel (BF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Biomass (BM)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Biomass (BM)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Biomass (BM)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Norway (NO)| Biomass (BM)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Coal (CO)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Coal (CO)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Norway (NO)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Coal (CO)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Electricity (EL)| connected to Sweden (SE)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Heavy fuel oil (HF)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Heavy fuel oil (HF)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Heavy fuel oil (HF)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Norway (NO)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 0,31.536
REGION1,Norway (NO)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Hydro (HY)| Pumped Storage (DS)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Hydro (HY)| Pumped Storage (DS)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Natural gas (NG)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3,31.536
REGION1,Norway (NO)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Norway (NO)| Natural gas (NG)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Norway (NO)| Natural gas (NG)| Fuel cell (FC)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 2,31.536
REGION1,Norway (NO)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Natural gas (NG)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Nuclear (NU)| Generation 3 (G3)| Primary energy commodity (P)| New (N)| size 3,31.536
REGION1,Norway (NO)| Ocean (OC)| Wave power (WV)| Primary energy commodity (P)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Sun (SO)| Distributed PV (DI)| Final electricity (F)| Historic (H)| size 1,31.536
REGION1,Norway (NO)| Sun (SO)| Utility PV (UT)| Primary energy commodity (P)| Historic (H)| size 2,31.536
REGION1,Norway (NO)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| Historic (H)| size 3,31.536
