REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMCSPN2,1,2036,DKBM,S05B1,6.771301862256758
REGION1,DKBMCSPN2,1,2036,DKBM,S05B2,6.771301862256758
REGION1,DKBMCSPN2,1,2037,DKBM,S01B1,7.263119705430651
REGION1,DKBMCSPN2,1,2037,DKBM,S01B2,7.263119705430651
REGION1,DKBMCSPN2,1,2037,DKBM,S02B2,7.263119705430651
REGION1,DKBMCSPN2,1,2037,DKBM,S03B1,2.9183671381778455
REGION1,DKBMCSPN2,1,2037,DKBM,S03B2,7.2631197054306735
REGION1,DKBMCSPN2,1,2037,DKBM,S03B3,7.263119705430651
REGION1,DKBMCSPN2,1,2037,DKBM,S04B1,7.263119705430651
REGION1,DKBMCSPN2,1,2037,DKBM,S04B2,7.263119705430651
REGION1,DKBMCSPN2,1,2037,DKBM,S05B1,7.263119705430651
REGION1,DKBMCSPN2,1,2037,DKBM,S05B2,6.831526838333023
REGION1,DKBMCSPN2,1,2038,DKBM,S01B1,7.867064402578862
REGION1,DKBMCSPN2,1,2038,DKBM,S01B2,7.867064402578862
REGION1,DKBMCSPN2,1,2038,DKBM,S02B2,7.867064402578862
REGION1,DKBMCSPN2,1,2038,DKBM,S03B1,2.8544907558651222
REGION1,DKBMCSPN2,1,2038,DKBM,S03B2,7.867064402578862
REGION1,DKBMCSPN2,1,2038,DKBM,S03B3,7.867064402578862
REGION1,DKBMCSPN2,1,2038,DKBM,S04B1,7.867064402578862
REGION1,DKBMCSPN2,1,2038,DKBM,S04B2,7.867064402578862
REGION1,DKBMCSPN2,1,2038,DKBM,S05B1,7.867064402578862
REGION1,DKBMCSPN2,1,2038,DKBM,S05B2,7.867064402578862
REGION1,DKBMCSPN2,1,2039,DKBM,S01B1,8.827355916367093
REGION1,DKBMCSPN2,1,2039,DKBM,S01B2,8.827355916367093
REGION1,DKBMCSPN2,1,2039,DKBM,S02B2,8.827355916367093
REGION1,DKBMCSPN2,1,2039,DKBM,S03B1,4.331671025625673
REGION1,DKBMCSPN2,1,2039,DKBM,S03B2,8.827355916367093
REGION1,DKBMCSPN2,1,2039,DKBM,S03B3,8.827355916367093
REGION1,DKBMCSPN2,1,2039,DKBM,S04B1,8.827355916367093
REGION1,DKBMCSPN2,1,2039,DKBM,S04B2,8.827355916367093
REGION1,DKBMCSPN2,1,2039,DKBM,S04B3,8.827355916367093
REGION1,DKBMCSPN2,1,2039,DKBM,S05B2,8.827355916367093
REGION1,DKBMCSPN2,1,2040,DKBM,S01B2,10.146289208047165
REGION1,DKBMCSPN2,1,2040,DKBM,S01B3,10.146289208047165
REGION1,DKBMCSPN2,1,2040,DKBM,S02B1,10.146289208047165
REGION1,DKBMCSPN2,1,2040,DKBM,S02B2,10.146289208047165
REGION1,DKBMCSPN2,1,2040,DKBM,S03B1,7.3740721756166705
REGION1,DKBMCSPN2,1,2040,DKBM,S03B2,10.146289208047165
REGION1,DKBMCSPN2,1,2040,DKBM,S03B3,10.146289208047165
REGION1,DKBMCSPN2,1,2040,DKBM,S04B2,10.146289208047165
REGION1,DKBMCSPN2,1,2040,DKBM,S04B3,10.146289208047165
REGION1,DKBMCSPN2,1,2040,DKBM,S05B2,10.146289208047165
REGION1,DKBMCSPN2,1,2041,DKBM,S01B1,2.0565773832906973
REGION1,DKBMCSPN2,1,2041,DKBM,S01B2,11.570086084131354
REGION1,DKBMCSPN2,1,2041,DKBM,S01B3,11.570086084131354
REGION1,DKBMCSPN2,1,2041,DKBM,S02B2,10.646512462040656
REGION1,DKBMCSPN2,1,2041,DKBM,S02B3,11.570086084131354
REGION1,DKBMCSPN2,1,2041,DKBM,S03B1,11.570086084131354
REGION1,DKBMCSPN2,1,2041,DKBM,S03B2,11.570086084131354
REGION1,DKBMCSPN2,1,2041,DKBM,S03B3,11.570086084131354
REGION1,DKBMCSPN2,1,2041,DKBM,S04B2,11.570086084131354
REGION1,DKBMCSPN2,1,2041,DKBM,S05B2,11.570086084131354
REGION1,DKBMCSPN2,1,2042,DKBM,S01B2,13.15467724260121
REGION1,DKBMCSPN2,1,2042,DKBM,S01B3,13.15467724260121
REGION1,DKBMCSPN2,1,2042,DKBM,S02B1,1.244349934105387
REGION1,DKBMCSPN2,1,2042,DKBM,S02B2,13.15467724260121
REGION1,DKBMCSPN2,1,2042,DKBM,S02B3,13.15467724260121
