REGION,STORAGE,SEASON,DAYTYPE,YEAR,VALUE
REGION1,DKHGSTPN2,5,1,2026,0.021565698767799225
REGION1,DKHGSTPN2,5,1,2027,0.021565698767799447
REGION1,DKHGSTPN2,5,1,2028,0.021565698767799447
REGION1,DKHGSTPN2,5,1,2029,0.021565698767799447
REGION1,DKHGSTPN2,5,1,2030,0.021565698767799447
REGION1,DKHGSTPN2,5,1,2031,0.021565698767799447
REGION1,DKHGSTPN2,5,1,2032,0.020976873493481648
REGION1,DKHGSTPN2,5,1,2033,0.017993959622870696
REGION1,DKHGSTPN2,5,1,2034,0.015990438098665915
REGION1,DKHGSTPN2,5,1,2035,0.013987608571565502
REGION1,DKHGSTPN2,5,1,2036,0.011984779533400935
REGION1,DKHGSTPN2,5,1,2038,0.021565698767799447
REGION1,DKHGSTPN2,5,1,2040,0.021565698767799447
REGION1,DKHGSTPN2,5,1,2041,0.021565698767799447
REGION1,DKHGSTPN2,5,1,2042,0.0007260968642165792
REGION1,DKHGSTPN2,5,1,2043,0.0007260968642165792
REGION1,DKHGSTPN2,5,1,2044,0.0007260968642165792
REGION1,NOHGSTPN2,1,1,2039,0.0007987868056570682
REGION1,NOHGSTPN2,1,1,2043,0.004447690404470355
REGION1,NOHGSTPN2,1,1,2044,0.0055156478767395
REGION1,NOHGSTPN2,1,1,2045,0.005547865401383225
REGION1,NOHGSTPN2,1,1,2046,0.005547865401383225
REGION1,NOHGSTPN2,1,1,2047,0.005547865401382524
REGION1,NOHGSTPN2,1,1,2048,0.005547865401383225
REGION1,NOHGSTPN2,1,1,2052,0.0013869663503456309
REGION1,NOHGSTPN2,1,1,2055,0.0032475287983427586
REGION1,NOHGSTPN2,1,1,2056,0.002165019198894579
REGION1,NOHGSTPN2,1,1,2057,0.0021650191988960006
REGION1,NOHGSTPN2,1,1,2058,1.691423101244463e-05
REGION1,NOHGSTPN2,1,1,2059,0.003227846797265732
REGION1,NOHGSTPN2,1,1,2060,1.691423101244463e-05
REGION1,NOHGSTPN2,2,1,2043,0.004447690404470355
REGION1,NOHGSTPN2,2,1,2044,0.0055156478767395
REGION1,NOHGSTPN2,2,1,2045,0.005547865401383225
REGION1,NOHGSTPN2,2,1,2052,0.0013869663503456309
REGION1,NOHGSTPN2,2,1,2055,0.0032475287983427586
REGION1,NOHGSTPN2,2,1,2056,0.002165019198894579
REGION1,NOHGSTPN2,2,1,2057,0.0006596547131449
REGION1,NOHGSTPN2,2,1,2059,0.003227846797265732
REGION1,NOHGSTPN2,2,1,2060,1.691423101244463e-05
REGION1,NOHGSTPN2,3,1,2052,0.0013869663503456309
REGION1,NOHGSTPN2,3,1,2057,0.0006596547131449
REGION1,NOHGSTPN2,4,1,2039,0.0008059634004657818
REGION1,NOHGSTPN2,4,1,2040,0.001851549781335556
REGION1,NOHGSTPN2,4,1,2041,0.0025616025855932415
REGION1,NOHGSTPN2,4,1,2042,0.003459664022717395
REGION1,NOHGSTPN2,4,1,2043,0.0044876500928895
REGION1,NOHGSTPN2,4,1,2044,0.005547865401383225
REGION1,NOHGSTPN2,4,1,2045,0.0035541036457746684
REGION1,NOHGSTPN2,4,1,2046,0.0035541036457755744
REGION1,NOHGSTPN2,4,1,2047,0.003554103645775796
REGION1,NOHGSTPN2,4,1,2048,0.0035541036457757964
REGION1,NOHGSTPN2,4,1,2052,0.004496807040398343
REGION1,NOHGSTPN2,4,1,2053,0.005547865401383225
REGION1,NOHGSTPN2,4,1,2055,0.005547865401383225
REGION1,NOHGSTPN2,4,1,2056,0.005547865401383225
REGION1,NOHGSTPN2,4,1,2057,0.005514036939357148
REGION1,NOHGSTPN2,4,1,2058,0.005547865401383225
REGION1,NOHGSTPN2,4,1,2059,0.0055142419604274
REGION1,NOHGSTPN2,4,1,2060,0.005547865401383225
REGION1,NOHGSTPN2,5,1,2052,0.004496807040399231
REGION1,NOHGSTPN2,5,1,2053,0.005547865401383225
REGION1,NOHGSTPN2,5,1,2057,0.005514036939358339
REGION1,NOHGSTPN2,5,1,2059,0.005514036939358339
