TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2016,REGION1,FIUR00I00,1,11.897006165829909
S01B1,2016,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2016,REGION1,FIWSSTPH1,1,2.5903960443294514
S01B1,2016,REGION1,NOCO00I00,1,0.02808030384719689
S01B1,2016,REGION1,NOCOCHPH3,1,0.005529599944703987
S01B1,2016,REGION1,NONG00X00,1,1.8077125136867274
S01B1,2016,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2016,REGION1,SEBM00X00,1,11.573125133989038
S01B1,2016,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2016,REGION1,SENUG2PH3,1,10.3729098155174
S01B1,2016,REGION1,SEUR00I00,1,31.433028613962367
S01B1,2016,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2016,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2016,REGION1,SEELPLIH1,1,0.8433192875668051
S01B1,2016,REGION1,DKCOSTPH1,1,0.23639039763609543
S01B1,2016,REGION1,DKEL00TD0,1,4.429920311657763
S01B1,2016,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2016,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2016,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2016,REGION1,DKWS00X00,1,1.2760440855128359
S01B1,2016,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2016,REGION1,FIEL00TD0,1,14.023311466929757
S01B1,2016,REGION1,FIELNOPH1,2,0.16727039832729562
S01B1,2016,REGION1,FIELSEPH1,2,3.732479962675191
S01B1,2016,REGION1,FIHYDMPH1,1,0.13986831258992455
S01B1,2016,REGION1,FIHYDMPH2,1,1.0281536884627807
S01B1,2016,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2016,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2016,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2016,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2016,REGION1,FIWS00X00,1,8.061593321372552
S01B1,2016,REGION1,NOCOSTPH1,1,0.005529599944703987
S01B1,2016,REGION1,NOEL00TD0,1,21.969996541154032
S01B1,2016,REGION1,NOELSEPH1,2,0.1171628738387494
S01B1,2016,REGION1,NOHYDMPH1,1,1.8704005461456557
S01B1,2016,REGION1,NOHYDMPH2,1,11.307605594024059
S01B1,2016,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2016,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2016,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2016,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2016,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2016,REGION1,NOWS00X00,1,0.4176339396418995
S01B1,2016,REGION1,SEBMSTPH3,1,4.050597847494012
S01B1,2016,REGION1,SEEL00TD0,1,22.371455270469585
S01B1,2016,REGION1,SEHYDMPH1,1,0.5804621285452031
S01B1,2016,REGION1,SEHYDMPH2,1,4.809060703179255
S01B1,2016,REGION1,SEHYDMPH3,1,2.423612269211551
S01B1,2016,REGION1,SEHYDSPH2,1,0.023438376756747658
S01B1,2016,REGION1,SESODIFH1,1,3.560400360683988e-10
S01B1,2016,REGION1,SESOUTPH2,1,1.0728397086833132e-07
S01B1,2016,REGION1,SEWIOFPH3,1,0.12583172405112245
S01B1,2016,REGION1,SEWIONPH3,1,2.2139999170343954
S01B1,2016,REGION1,SEWIONPN3,1,0.27082373381349
S01B1,2016,REGION1,SEWS00X00,1,1.977733563973827
S01B1,2016,REGION1,NOHGSRPH2,1,1.1930914521246925
S01B1,2016,REGION1,SEHGSRPH2,1,0.6129838749582863
S01B1,2016,REGION1,FIHGSRPH2,1,0.7953943014164616
S01B1,2016,REGION1,NOHGTDP00,1,1.1883144281236353
S01B1,2016,REGION1,SEHGTDP00,1,0.6105295461826321
S01B1,2016,REGION1,FIHGTDP00,1,0.79220961874909
S01B1,2017,REGION1,DKBM00X00,1,2.013657102204288
S01B1,2017,REGION1,DKCO00I00,1,1.8761876208431862
S01B1,2017,REGION1,DKCOCHPH3,1,0.5098846149304546
S01B1,2017,REGION1,DKNG00X00,1,0.18861538816824563
S01B1,2017,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2017,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2017,REGION1,FIBM00X00,1,0.015008899126710969
S01B1,2017,REGION1,FICO00I00,1,10.835013385237247
S01B1,2017,REGION1,FICOCHPH3,1,3.350536670494625
S01B1,2017,REGION1,FING00I00,1,1.2051416757911515
S01B1,2017,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2017,REGION1,FIUR00I00,1,11.897006165829909
S01B1,2017,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2017,REGION1,NOCO00I00,1,0.02780360266596391
S01B1,2017,REGION1,NOCOCHPH3,1,0.005529599944703987
S01B1,2017,REGION1,NONG00X00,1,1.8077125136867274
S01B1,2017,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2017,REGION1,SEBM00X00,1,11.745010063096432
S01B1,2017,REGION1,SEBMCCPH1,1,0.06148915138510833
S01B1,2017,REGION1,SECO00X00,1,0.5765772102854265
S01B1,2017,REGION1,SECOCHPH3,1,0.22934015770659788
S01B1,2017,REGION1,SENG00I00,1,0.9287625181430474
S01B1,2017,REGION1,SENUG2PH3,1,11.37414463224661
S01B1,2017,REGION1,SEUR00I00,1,34.4670704790969
S01B1,2017,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2017,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2017,REGION1,SEELLTEH1,1,0.9773567902264297
S01B1,2017,REGION1,SEELPLIH1,1,0.8363381676366162
S01B1,2017,REGION1,DKBMSTPH3,1,0.7047806905521914
S01B1,2017,REGION1,DKCOSTPH1,1,0.23639039763609543
S01B1,2017,REGION1,DKEL00TD0,1,4.409695916907436
S01B1,2017,REGION1,DKHYDMPH0,1,0.0009856511901434857
S01B1,2017,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2017,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2017,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2017,REGION1,DKWS00X00,1,1.1336199508679579
S01B1,2017,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2017,REGION1,FICOSTPH3,1,1.1188264219089743
S01B1,2017,REGION1,FIEL00TD0,1,13.897334198842788
S01B1,2017,REGION1,FIELNOPH1,2,0.15897599841023963
S01B1,2017,REGION1,FIELSEPH1,2,3.732479962675191
S01B1,2017,REGION1,FIHYDMPH1,1,0.13656561518423152
S01B1,2017,REGION1,FIHYDMPH2,1,1.0281536884627807
S01B1,2017,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2017,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2017,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2017,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2017,REGION1,FIWS00X00,1,0.47343418662565695
S01B1,2017,REGION1,NOCOSTPH1,1,0.005529599944703987
S01B1,2017,REGION1,NOEL00TD0,1,21.998823911676023
S01B1,2017,REGION1,NOELSEPH1,2,0.3298576219660211
S01B1,2017,REGION1,NOHYDMPH1,1,1.7431831456683242
S01B1,2017,REGION1,NOHYDMPH2,1,11.253295954385413
