REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DKCOSTPH1,DKPM25,2018,0.012079547719405885
REGION1,DKCOSTPH1,DKPM25,2019,0.01207954808918185
REGION1,DKCOSTPH1,DKPM25,2020,0.011620383818005528
REGION1,DKCOSTPH1,DKPM25,2021,0.00194261742770139
REGION1,DKHGBCPN2,CO2,2032,-34.596114163206494
REGION1,DKHGBCPN2,CO2,2033,-403.42232113999916
REGION1,DKHGBCPN2,CO2,2034,-772.6881486000296
REGION1,DKHGBCPN2,CO2,2035,-1141.8264353482696
REGION1,DKHGBCPN2,CO2,2036,-1510.9646313611072
REGION1,DKHGBCPN2,CO2,2037,-3211.8778544942406
REGION1,DKHGBCPN2,CO2,2038,-3622.6332263375616
REGION1,DKHGBCPN2,CO2,2039,-3986.2053290829504
REGION1,DKHGBCPN2,CO2,2040,-4360.90961979003
REGION1,DKHGBCPN2,CO2,2041,-4764.854722509259
REGION1,DKHGBCPN2,CO2,2042,-5175.376368412907
REGION1,DKHGBCPN2,CO2,2043,-5217.225773054246
REGION1,DKHGBCPN2,CO2,2044,-5259.757504945912
REGION1,DKHGBCPN2,CO2,2045,-5302.988388595465
REGION1,DKHGBCPN2,CO2,2046,-5346.935806228949
REGION1,DKHGBCPN2,CO2,2047,-5391.617721093894
REGION1,DKHGBCPN2,CO2,2048,-5437.052701940552
REGION1,DKHGBCPN2,CO2,2049,-5483.259948751483
REGION1,DKHGBCPN2,CO2,2050,-5530.2593197943615
REGION1,DKHGBCPN2,CO2,2051,-5568.148703950244
REGION1,DKHGBCPN2,CO2,2052,-5598.6470319130885
REGION1,DKHGBCPN2,CO2,2053,-5623.165924561061
REGION1,DKHGBCPN2,CO2,2054,-5642.858329468056
REGION1,DKHGBCPN2,CO2,2055,-5658.661896486651
REGION1,DKHGBCPN2,CO2,2056,-5671.336608125414
REGION1,DKHGBCPN2,CO2,2057,-5681.496817245737
REGION1,DKHGBCPN2,CO2,2058,-5689.638087909168
REGION1,DKHGBCPN2,CO2,2059,-5696.159504686189
REGION1,DKHGBCPN2,CO2,2060,-5701.382017629146
REGION1,DKHGSRPH2,DKPM25,2015,0.006294995615154527
REGION1,DKHGSRPH2,DKPM25,2016,0.006252507442901388
REGION1,DKHGSRPH2,DKPM25,2017,0.006252507803568097
REGION1,DKHGSRPH2,DKPM25,2018,0.00625250744290139
REGION1,DKHGSRPH2,DKPM25,2019,0.006252507882034235
REGION1,DKHGSRPH2,DKPM25,2020,0.004062674374182252
REGION1,DKHGSRPH2,DKPM25,2021,0.004062674374182252
REGION1,DKHGSRPH2,DKPM25,2022,0.006808550680864959
REGION1,DKHGSRPH2,DKPM25,2023,0.007086571784945164
REGION1,DKHGSRPH2,DKPM25,2024,0.007364592467199781
REGION1,DKHGSRPH2,DKPM25,2025,0.007642612912889013
REGION1,DKHGSRPH2,DKPM25,2026,0.007920632196328435
REGION1,DKHGSRPH2,DKPM25,2027,0.00815846835717232
REGION1,DKHGSRPH2,DKPM25,2028,0.007167378451577651
REGION1,DKHGSRPH2,DKPM25,2029,0.007659647383017561
REGION1,DKHGSRPH2,DKPM25,2030,0.00758738894274981
REGION1,DKHGSRPH2,DKPM25,2031,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2032,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2033,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2034,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2035,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2036,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2037,0.0002723169435191702
REGION1,DKHGSRPH2,DKPM25,2043,0.00561845265590083
REGION1,DKHGSRPH2,DKPM25,2044,0.008886568858472086
REGION1,DKHGSRPH2,DKPM25,2045,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2046,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2047,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2048,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2049,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2050,0.010745479288367997
REGION1,DKHYDMPH0,DKHO,2015,0.07999998306619478
REGION1,DKHYDMPH0,DKHO,2016,0.07999998306619478
REGION1,DKHYDMPH0,DKHO,2017,0.022035464592726303
REGION1,DKHYDMPH0,DKHO,2018,0.022035465121181885
REGION1,DKHYDMPH0,DKHO,2019,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2020,0.022035464452507085
REGION1,DKHYDMPH0,DKHO,2021,0.022035464592726303
REGION1,DKHYDMPH0,DKHO,2022,0.022035464404726098
REGION1,DKHYDMPH0,DKHO,2023,0.02203546467293323
REGION1,DKHYDMPH0,DKHO,2024,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2025,0.022035464564800832
REGION1,DKHYDMPH0,DKHO,2026,0.022035464570417516
REGION1,DKHYDMPH0,DKHO,2027,0.022035464570417516
REGION1,DKHYDMPH0,DKHO,2028,0.022035464835600413
REGION1,DKHYDMPH0,DKHO,2029,0.022035464452507085
REGION1,DKHYDMPH0,DKHO,2030,0.022035464817389907
REGION1,DKHYDMPH0,DKHO,2031,0.022035464350322068
REGION1,DKHYDMPH0,DKHO,2032,0.022035464392288297
REGION1,DKHYDMPH0,DKHO,2033,0.02203546456110083
REGION1,DKHYDMPH0,DKHO,2034,0.022035464561100834
REGION1,DKHYDMPH0,DKHO,2035,0.022035464561100834
REGION1,DKHYDMPH0,DKHO,2036,0.022035464570417516
REGION1,DKHYDMPH0,DKHO,2037,0.022035463806833452
REGION1,DKHYDMPH0,DKHO,2038,0.022035464392288297
REGION1,DKHYDMPH0,DKHO,2039,0.022035464389917984
REGION1,DKHYDMPH0,DKHO,2040,0.022035464592726303
REGION1,DKHYDMPH0,DKHO,2041,0.022035464750177147
REGION1,DKHYDMPH0,DKHO,2042,0.022035464592726307
REGION1,DKHYDMPH0,DKHO,2043,0.022035464835600413
REGION1,DKHYDMPH0,DKHO,2044,0.02203546450565106
REGION1,DKHYDMPH0,DKHO,2045,0.022035464300473824
REGION1,DKHYDMPH0,DKHO,2046,0.022035464750177147
REGION1,DKHYDMPH0,DKHO,2047,0.02203546450565106
REGION1,DKHYDMPH0,DKHO,2048,0.02203546450565106
REGION1,DKHYDMPH0,DKHO,2049,0.022035464300473824
REGION1,DKHYDMPH0,DKHO,2050,0.022035464300473824
REGION1,DKHYDMPH0,DKHO,2051,0.022035464300473824
REGION1,DKHYDMPH0,DKHO,2052,0.022035464300473824
REGION1,DKHYDMPH0,DKHO,2053,0.022035464392288297
REGION1,DKHYDMPH0,DKHO,2054,0.022035464392288297
REGION1,DKHYDMPH0,DKHO,2055,0.022035464592726303
REGION1,DKHYDMPH0,DKHO,2056,0.022035465121181885
REGION1,DKHYDMPH0,DKHO,2057,0.022035464392288297
REGION1,DKHYDMPH0,DKHO,2058,0.022035464300473824
REGION1,DKHYDMPH0,DKHO,2059,0.021015590354914338
REGION1,DKHYDMPH0,DKHO,2060,0.02101559007618827
REGION1,DKHYDMPH3,DKHO,2018,0.05796450397697479
REGION1,DKHYDMPH3,DKHO,2019,0.05796450475542897
REGION1,DKHYDMPH3,DKHO,2020,0.05796450475542896
REGION1,DKHYDMPH3,DKHO,2021,0.05796450475542896
REGION1,DKHYDMPH3,DKHO,2022,0.05796450475542897
REGION1,DKHYDMPH3,DKHO,2023,0.05796450475542913
REGION1,DKHYDMPH3,DKHO,2024,0.057964504755428976
REGION1,DKHYDMPH3,DKHO,2025,0.05796450475542897
REGION1,DKHYDMPH3,DKHO,2026,0.05796450475542897
REGION1,DKHYDMPH3,DKHO,2027,0.05796450475542846
REGION1,DKHYDMPH3,DKHO,2028,0.05796450475542897
REGION1,DKHYDMPH3,DKHO,2029,0.05796450475542896
REGION1,DKHYDMPH3,DKHO,2030,0.05796450475542824
REGION1,DKHYDMPH3,DKHO,2031,0.057964504755428976
REGION1,DKHYDMPH3,DKHO,2032,0.05796450475542902
REGION1,DKHYDMPH3,DKHO,2033,0.05796450475542802
REGION1,DKHYDMPH3,DKHO,2034,0.057964503952467175
REGION1,DKHYDMPH3,DKHO,2035,0.05796450395246718
REGION1,DKHYDMPH3,DKHO,2036,0.05796450475542896
REGION1,DKHYDMPH3,DKHO,2037,0.057964504755428976
REGION1,DKHYDMPH3,DKHO,2038,0.05796450475542897
REGION1,DKHYDMPH3,DKHO,2039,0.05796450475542896
REGION1,DKHYDMPH3,DKHO,2040,0.05796450403565829
REGION1,DKHYDMPH3,DKHO,2041,0.05796450326688405
REGION1,DKHYDMPH3,DKHO,2042,0.057964504035657324
REGION1,DKHYDMPH3,DKHO,2043,0.057964503962200056
REGION1,DKHYDMPH3,DKHO,2044,0.057964504035656846
REGION1,DKHYDMPH3,DKHO,2045,0.05796450326689071
