REGION,STORAGE,YEAR,VALUE
REGION1,DKHGSTPN2,2055,0.818344736
REGION1,DKHGSTPN2,2056,0.818344736
REGION1,DKHGSTPN2,2057,0.818344736
REGION1,DKHGSTPN2,2058,0.818344736
REGION1,DKHGSTPN2,2059,0.818344736
REGION1,DKHGSTPN2,2060,0.818344736
REGION1,NOHGSTPN2,2015,0.818344736
REGION1,NOHGSTPN2,2016,0.818344736
REGION1,NOHGSTPN2,2017,0.818344736
REGION1,NOHGSTPN2,2018,0.818344736
REGION1,NOHGSTPN2,2019,0.818344736
REGION1,NOHGSTPN2,2020,0.818344736
REGION1,NOHGSTPN2,2021,0.818344736
REGION1,NOHGSTPN2,2022,0.818344736
REGION1,NOHGSTPN2,2023,0.818344736
REGION1,NOHGSTPN2,2024,0.818344736
REGION1,NOHGSTPN2,2025,0.818344736
REGION1,NOHGSTPN2,2026,0.818344736
REGION1,NOHGSTPN2,2027,0.818344736
REGION1,NOHGSTPN2,2028,0.818344736
REGION1,NOHGSTPN2,2029,0.818344736
REGION1,NOHGSTPN2,2030,0.818344736
REGION1,NOHGSTPN2,2031,0.818344736
REGION1,NOHGSTPN2,2032,0.818344736
REGION1,NOHGSTPN2,2033,0.818344736
REGION1,NOHGSTPN2,2034,0.818344736
REGION1,NOHGSTPN2,2035,0.818344736
REGION1,NOHGSTPN2,2036,0.818344736
REGION1,NOHGSTPN2,2037,0.818344736
REGION1,NOHGSTPN2,2038,0.818344736
REGION1,NOHGSTPN2,2039,0.818344736
REGION1,NOHGSTPN2,2040,0.818344736
REGION1,NOHGSTPN2,2041,0.818344736
REGION1,NOHGSTPN2,2042,0.818344736
REGION1,NOHGSTPN2,2043,0.818344736
REGION1,NOHGSTPN2,2044,0.818344736
REGION1,NOHGSTPN2,2045,0.818344736
REGION1,NOHGSTPN2,2046,0.818344736
REGION1,NOHGSTPN2,2047,0.818344736
REGION1,NOHGSTPN2,2048,0.818344736
REGION1,NOHGSTPN2,2049,0.818344736
REGION1,NOHGSTPN2,2050,0.818344736
REGION1,NOHGSTPN2,2051,0.818344736
REGION1,NOHGSTPN2,2052,0.818344736
REGION1,NOHGSTPN2,2053,0.818344736
REGION1,NOHGSTPN2,2054,0.818344736
REGION1,NOHGSTPN2,2055,0.818344736
REGION1,NOHGSTPN2,2056,0.818344736
REGION1,NOHGSTPN2,2057,0.818344736
REGION1,NOHGSTPN2,2058,0.818344736
REGION1,NOHGSTPN2,2059,0.818344736
REGION1,NOHGSTPN2,2060,0.818344736
