REGION,FUEL,YEAR,VALUE
REGION1,SEH2,2032,49.8720000000003
REGION1,SEH2,2033,52.8720000000003
REGION1,SEH2,2034,55.8720000000003
REGION1,SEH2,2035,58.8720000000003
REGION1,SEH2,2036,61.8720000000003
REGION1,SEH2,2037,64.8720000000003
REGION1,SEH2,2038,67.8720000000003
REGION1,SEH2,2039,70.8720000000003
REGION1,SEH2,2040,73.8720000000003
REGION1,SEH2,2041,76.8720000000003
REGION1,SEH2,2042,79.8720000000003
REGION1,SEH2,2043,82.8720000000003
REGION1,SEH2,2044,85.8720000000003
REGION1,SEH2,2045,88.8720000000003
REGION1,SEH2,2046,91.8720000000003
REGION1,SEH2,2047,94.8720000000003
REGION1,SEH2,2048,97.8720000000003
REGION1,SEH2,2049,100.8720000000003
REGION1,SEH2,2050,103.8720000000003
REGION1,SEH2,2051,106.8720000000003
REGION1,SEH2,2052,109.8720000000003
REGION1,SEH2,2053,112.8720000000003
REGION1,SEH2,2054,115.8720000000003
REGION1,SEH2,2055,118.8720000000003
REGION1,SEH2,2056,121.8720000000003
REGION1,SEH2,2057,124.8720000000003
REGION1,SEH2,2058,127.8720000000003
REGION1,SEH2,2059,130.8720000000003
REGION1,SEH2,2060,133.8720000000003
