VALUE
BMIM
CO2
DKHO
DKPM25
DKSO
DKWI
FIHO
FIPM25
FISO
FIWI
NOHO
NOPM25
NOSO
NOWI
SEHO
SEPM25
SESO
SEWI
DKWO
FIWO
SEWO
