REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,S02B2,ATE2,2022,17.91574763436
REGION1,S02B3,ATE2,2022,1.8713621030399998
REGION1,S03B1,ATE2,2022,18.10599070842
REGION1,S03B2,ATE2,2022,81.23814622863
REGION1,S03B3,ATE2,2022,12.939472922759998
REGION1,S04B1,ATE2,2022,5.34527474274
REGION1,S04B2,ATE2,2022,18.66504856905
REGION1,S04B3,ATE2,2022,3.0418393357799998
REGION1,S05B1,ATE2,2022,5.65717414842
REGION1,S05B2,ATE2,2022,19.10134769022
REGION1,S05B3,ATE2,2022,3.2044053929399996
REGION1,S01B1,ATE2,2023,9.543438686430001
REGION1,S01B2,ATE2,2023,32.22796294224
REGION1,S01B3,ATE2,2023,5.39272186765
REGION1,S02B1,ATE2,2023,5.1761747293300004
REGION1,S02B2,ATE2,2023,18.27044051148
REGION1,S02B3,ATE2,2023,1.9084110067199997
REGION1,S03B1,ATE2,2023,18.46444998506
REGION1,S03B2,ATE2,2023,82.84648501558999
REGION1,S03B3,ATE2,2023,13.195646372679999
REGION1,S04B1,ATE2,2023,5.451099568819999
REGION1,S04B2,ATE2,2023,19.03457597665
REGION1,S04B3,ATE2,2023,3.10206114554
REGION1,S05B1,ATE2,2023,5.76917390506
REGION1,S05B2,ATE2,2023,19.47951287246
REGION1,S05B3,ATE2,2023,3.2678456574199997
REGION1,S01B1,ATE2,2024,9.72910259046
REGION1,S01B2,ATE2,2024,32.85494548128
REGION1,S01B3,ATE2,2024,5.497635183300001
REGION1,S02B1,ATE2,2024,5.2768752042600005
REGION1,S02B2,ATE2,2024,18.625884856560003
REGION1,S02B3,ATE2,2024,1.9455384038399999
REGION1,S03B1,ATE2,2024,18.82366870932
REGION1,S03B2,ATE2,2024,84.45823129998
REGION1,S03B3,ATE2,2024,13.45236256296
REGION1,S04B1,ATE2,2024,5.55714860004
REGION1,S04B2,ATE2,2024,19.4048862813
REGION1,S04B3,ATE2,2024,3.16241054388
REGION1,S05B1,ATE2,2024,5.88141094932
REGION1,S05B2,ATE2,2024,19.85847925212
REGION1,S05B3,ATE2,2024,3.33142032924
REGION1,S01B1,ATE2,2025,9.91555154271
REGION1,S01B2,ATE2,2025,33.48457910928
REGION1,S01B3,ATE2,2025,5.60299210705
REGION1,S02B1,ATE2,2025,5.37800147401
REGION1,S02B2,ATE2,2025,18.982832137560003
REGION1,S02B3,ATE2,2025,1.98282278784
REGION1,S03B1,ATE2,2025,19.18440632882
REGION1,S03B2,ATE2,2025,86.07679257923
REGION1,S03B3,ATE2,2025,13.71016423396
REGION1,S04B1,ATE2,2025,5.66364604154
REGION1,S04B2,ATE2,2025,19.776762380050002
REGION1,S04B3,ATE2,2025,3.2230151193800003
REGION1,S05B1,ATE2,2025,5.994122568820001
REGION1,S05B2,ATE2,2025,20.23904802662
REGION1,S05B3,ATE2,2025,3.39526381574
REGION1,S01B1,ATE2,2026,10.10043039852
REGION1,S01B2,ATE2,2026,34.10891055936
REGION1,S01B3,ATE2,2026,5.7074618146
REGION1,S02B1,ATE2,2026,5.4782761541200005
REGION1,S02B2,ATE2,2026,19.33677354672
REGION1,S02B3,ATE2,2026,2.01979319808
REGION1,S03B1,ATE2,2026,19.54210615784
REGION1,S03B2,ATE2,2026,87.68172386876
REGION1,S03B3,ATE2,2026,13.965794943519999
REGION1,S04B1,ATE2,2026,5.76924666248
REGION1,S04B2,ATE2,2026,20.1455068906
REGION1,S04B3,ATE2,2026,3.28310934056
REGION1,S05B1,ATE2,2026,6.10588503784
REGION1,S05B2,ATE2,2026,20.616412011439998
REGION1,S05B3,ATE2,2026,3.45856967288
REGION1,S01B1,ATE2,2027,10.286094302550001
REGION1,S01B2,ATE2,2027,34.7358930984
REGION1,S01B3,ATE2,2027,5.81237513025
REGION1,S02B1,ATE2,2027,5.5789766290500005
REGION1,S02B2,ATE2,2027,19.692217891800002
REGION1,S02B3,ATE2,2027,2.0569205952
REGION1,S03B1,ATE2,2027,19.9013248821
REGION1,S03B2,ATE2,2027,89.29347015315
REGION1,S03B3,ATE2,2027,14.2225111338
REGION1,S04B1,ATE2,2027,5.8752956937
REGION1,S04B2,ATE2,2027,20.51581719525
REGION1,S04B3,ATE2,2027,3.3434587389
REGION1,S05B1,ATE2,2027,6.218122082100001
REGION1,S05B2,ATE2,2027,20.9953783911
REGION1,S05B3,ATE2,2027,3.5221443447
REGION1,S01B1,ATE2,2028,10.471758206579999
REGION1,S01B2,ATE2,2028,35.36287563743999
REGION1,S01B3,ATE2,2028,5.9172884459
REGION1,S02B1,ATE2,2028,5.67967710398
REGION1,S02B2,ATE2,2028,20.047662236879997
REGION1,S02B3,ATE2,2028,2.0940479923199997
REGION1,S03B1,ATE2,2028,20.26054360636
REGION1,S03B2,ATE2,2028,90.90521643753999
REGION1,S03B3,ATE2,2028,14.479227324079998
REGION1,S04B1,ATE2,2028,5.981344724919999
REGION1,S04B2,ATE2,2028,20.8861274999
REGION1,S04B3,ATE2,2028,3.4038081372399995
REGION1,S05B1,ATE2,2028,6.330359126359999
REGION1,S05B2,ATE2,2028,21.374344770759997
REGION1,S05B3,ATE2,2028,3.5857190165199992
REGION1,S01B1,ATE2,2029,10.658207158829999
REGION1,S01B2,ATE2,2029,35.99250926543999
REGION1,S01B3,ATE2,2029,6.022645369649999
REGION1,S02B1,ATE2,2029,5.7808033737299995
REGION1,S02B2,ATE2,2029,20.404609517879997
REGION1,S02B3,ATE2,2029,2.1313323763199996
REGION1,S03B1,ATE2,2029,20.62128122586
REGION1,S03B2,ATE2,2029,92.52377771679
REGION1,S03B3,ATE2,2029,14.737028995079998
REGION1,S04B1,ATE2,2029,6.087842166419999
REGION1,S04B2,ATE2,2029,21.25800359865
REGION1,S04B3,ATE2,2029,3.4644127127399997
REGION1,S05B1,ATE2,2029,6.443070745859999
REGION1,S05B2,ATE2,2029,21.754913545259996
REGION1,S05B3,ATE2,2029,3.6495625030199994
REGION1,S01B1,ATE2,2030,10.84504863519
REGION1,S01B2,ATE2,2030,36.62346843792
REGION1,S01B3,ATE2,2030,6.12822409745
REGION1,S02B1,ATE2,2030,5.88214254089
REGION1,S02B2,ATE2,2030,20.76230826684
REGION1,S02B3,ATE2,2030,2.16869525376
REGION1,S03B1,ATE2,2030,20.98277829298
REGION1,S03B2,ATE2,2030,94.14574649347
REGION1,S03B3,ATE2,2030,14.99537340644
REGION1,S04B1,ATE2,2030,6.19456381306
REGION1,S04B2,ATE2,2030,21.63066259445
REGION1,S04B3,ATE2,2030,3.52514487682
REGION1,S05B1,ATE2,2030,6.556019652980001
REGION1,S05B2,ATE2,2030,22.13628351718
REGION1,S05B3,ATE2,2030,3.71354039686
REGION1,S01B1,ATE2,2031,11.2183390638
REGION1,S01B2,ATE2,2031,37.8840612384
REGION1,S01B3,ATE2,2031,6.339159749
REGION1,S02B1,ATE2,2031,6.0846079778
REGION1,S02B2,ATE2,2031,21.476954296800002
REGION1,S02B3,ATE2,2031,2.2433425151999997
REGION1,S03B1,ATE2,2031,21.7050129796
REGION1,S03B2,ATE2,2031,97.38627654940001
REGION1,S03B3,ATE2,2031,15.5115194888
REGION1,S04B1,ATE2,2031,6.4077829012
REGION1,S04B2,ATE2,2031,22.375197689
REGION1,S04B3,ATE2,2031,3.6464816164
REGION1,S05B1,ATE2,2031,6.7816801796
REGION1,S05B2,ATE2,2031,22.898222263599997
REGION1,S05B3,ATE2,2031,3.8413617772
REGION1,S01B1,ATE2,2032,11.590844444190001
REGION1,S01B2,ATE2,2032,39.14200294992
REGION1,S01B3,ATE2,2032,6.549651792450001
REGION1,S02B1,ATE2,2032,6.286647619890001
REGION1,S02B2,ATE2,2032,22.190097390840002
REGION1,S02B3,ATE2,2032,2.31783278976
REGION1,S03B1,ATE2,2032,22.42572877098
REGION1,S03B2,ATE2,2032,100.61999161047001
REGION1,S03B3,ATE2,2032,16.02658009044
REGION1,S04B1,ATE2,2032,6.62055357906
REGION1,S04B2,ATE2,2032,23.118166989450003
REGION1,S04B3,ATE2,2032,3.76756317882
REGION1,S05B1,ATE2,2032,7.006866130980001
REGION1,S05B2,ATE2,2032,23.65855861518
REGION1,S05B3,ATE2,2032,3.96891434286
REGION1,S01B1,ATE2,2033,11.96295730047
REGION1,S01B2,ATE2,2033,40.39861911695999
REGION1,S01B3,ATE2,2033,6.7599220318499995
REGION1,S02B1,ATE2,2033,6.48847436457
REGION1,S02B2,ATE2,2033,22.90248901692
REGION1,S02B3,ATE2,2033,2.3922445708799995
REGION1,S03B1,ATE2,2033,23.145685114739997
REGION1,S03B2,ATE2,2033,103.85029917410999
REGION1,S03B3,ATE2,2033,16.541097951719998
REGION1,S04B1,ATE2,2033,6.833100051779999
REGION1,S04B2,ATE2,2033,23.860353392849998
REGION1,S04B3,ATE2,2033,3.8885171526599995
REGION1,S05B1,ATE2,2033,7.23181479474
REGION1,S05B2,ATE2,2033,24.418093769339997
REGION1,S05B3,ATE2,2033,4.096332501179999
REGION1,S01B1,ATE2,2034,12.33467763264
REGION1,S01B2,ATE2,2034,41.653909739519996
REGION1,S01B3,ATE2,2034,6.9699704672000005
REGION1,S02B1,ATE2,2034,6.690088211840001
REGION1,S02B2,ATE2,2034,23.614129175040002
REGION1,S02B3,ATE2,2034,2.46657785856
REGION1,S03B1,ATE2,2034,23.86488201088
REGION1,S03B2,ATE2,2034,107.07719924032
REGION1,S03B3,ATE2,2034,17.05507307264
REGION1,S04B1,ATE2,2034,7.04542231936
REGION1,S04B2,ATE2,2034,24.6017568992
REGION1,S04B3,ATE2,2034,4.00934353792
REGION1,S05B1,ATE2,2034,7.45652617088
REGION1,S05B2,ATE2,2034,25.17682772608
REGION1,S05B3,ATE2,2034,4.22361625216
REGION1,S01B1,ATE2,2035,12.7060054407
REGION1,S01B2,ATE2,2035,42.907874817599996
REGION1,S01B3,ATE2,2035,7.1797970985
REGION1,S02B1,ATE2,2035,6.8914891617
REGION1,S02B2,ATE2,2035,24.3250178652
REGION1,S02B3,ATE2,2035,2.5408326528
REGION1,S03B1,ATE2,2035,24.5833194594
REGION1,S03B2,ATE2,2035,110.30069180909999
REGION1,S03B3,ATE2,2035,17.5685054532
REGION1,S04B1,ATE2,2035,7.257520381799999
REGION1,S04B2,ATE2,2035,25.3423775085
REGION1,S04B3,ATE2,2035,4.1300423346
REGION1,S05B1,ATE2,2035,7.6810002594
REGION1,S05B2,ATE2,2035,25.9347604854
REGION1,S05B3,ATE2,2035,4.3507655957999996
REGION1,S01B1,ATE2,2036,13.092249164940002
REGION1,S01B2,ATE2,2036,44.21221058592
REGION1,S01B3,ATE2,2036,7.3980522837
REGION1,S02B1,ATE2,2036,7.100980213140001
REGION1,S02B2,ATE2,2036,25.064462337840002
REGION1,S02B3,ATE2,2036,2.61807019776
REGION1,S03B1,ATE2,2036,25.330615917480003
REGION1,S03B2,ATE2,2036,113.65366928022
REGION1,S03B3,ATE2,2036,18.10256196744
REGION1,S04B1,ATE2,2036,7.47813823956
REGION1,S04B2,ATE2,2036,26.1127482057
REGION1,S04B3,ATE2,2036,4.25558949732
REGION1,S05B1,ATE2,2036,7.914491277480001
REGION1,S05B2,ATE2,2036,26.72313874668
REGION1,S05B3,ATE2,2036,4.48302241836
REGION1,S01B1,ATE2,2037,13.47849288918
REGION1,S01B2,ATE2,2037,45.51654635424
REGION1,S01B3,ATE2,2037,7.6163074689
REGION1,S02B1,ATE2,2037,7.31047126458
REGION1,S02B2,ATE2,2037,25.80390681048
REGION1,S02B3,ATE2,2037,2.69530774272
REGION1,S03B1,ATE2,2037,26.07791237556
REGION1,S03B2,ATE2,2037,117.00664675134
REGION1,S03B3,ATE2,2037,18.63661848168
REGION1,S04B1,ATE2,2037,7.6987560973199995
REGION1,S04B2,ATE2,2037,26.8831189029
REGION1,S04B3,ATE2,2037,4.38113666004
REGION1,S05B1,ATE2,2037,8.14798229556
REGION1,S05B2,ATE2,2037,27.51151700796
REGION1,S05B3,ATE2,2037,4.61527924092
REGION1,S01B1,ATE2,2038,13.86552166164
REGION1,S01B2,ATE2,2038,46.82353321152
REGION1,S01B3,ATE2,2038,7.8350062622
REGION1,S02B1,ATE2,2038,7.520388110840001
REGION1,S02B2,ATE2,2038,26.54485421904
REGION1,S02B3,ATE2,2038,2.77270227456
REGION1,S03B1,ATE2,2038,26.82672772888
REGION1,S03B2,ATE2,2038,120.36643921732
REGION1,S03B3,ATE2,2038,19.17176047664
REGION1,S04B1,ATE2,2038,7.91982236536
REGION1,S04B2,ATE2,2038,27.6550553942
REGION1,S04B3,ATE2,2038,4.50693899992
REGION1,S05B1,ATE2,2038,8.381947888880001
REGION1,S05B2,ATE2,2038,28.30149766408
REGION1,S05B3,ATE2,2038,4.74780487816
REGION1,S01B1,ATE2,2039,14.25215790999
REGION1,S01B2,ATE2,2039,48.12919452431999
REGION1,S01B3,ATE2,2039,8.05348325145
REGION1,S02B1,ATE2,2039,7.73009205969
REGION1,S02B2,ATE2,2039,27.285050159639997
REGION1,S02B3,ATE2,2039,2.8500183129599996
REGION1,S03B1,ATE2,2039,27.574783634579997
REGION1,S03B2,ATE2,2039,123.72282418587
REGION1,S03B3,ATE2,2039,19.70635973124
REGION1,S04B1,ATE2,2039,8.14066442826
REGION1,S04B2,ATE2,2039,28.42620898845
REGION1,S04B3,ATE2,2039,4.632613751219999
REGION1,S05B1,ATE2,2039,8.615676194579999
REGION1,S05B2,ATE2,2039,29.090677122779997
REGION1,S05B3,ATE2,2039,4.88019610806
REGION1,S01B1,ATE2,2040,14.639579206559999
REGION1,S01B2,ATE2,2040,49.43750692608
REGION1,S01B3,ATE2,2040,8.2724038488
REGION1,S02B1,ATE2,2040,7.94022180336
REGION1,S02B2,ATE2,2040,28.02674903616
REGION1,S02B3,ATE2,2040,2.9274913382399994
REGION1,S03B1,ATE2,2040,28.324358435519997
REGION1,S03B2,ATE2,2040,127.08602414928
REGION1,S03B3,ATE2,2040,20.24204446656
REGION1,S04B1,ATE2,2040,8.361954901439999
REGION1,S04B2,ATE2,2040,29.198928376799998
REGION1,S04B3,ATE2,2040,4.75854367968
REGION1,S05B1,ATE2,2040,8.84987907552
REGION1,S05B2,ATE2,2040,29.881458976319998
REGION1,S05B3,ATE2,2040,5.0128561526399995
REGION1,S01B1,ATE2,2041,14.93829005427
REGION1,S01B2,ATE2,2041,50.44624627536
REGION1,S01B3,ATE2,2041,8.44119673085
REGION1,S02B1,ATE2,2041,8.10223673237
REGION1,S02B2,ATE2,2041,28.598616153720002
REGION1,S02B3,ATE2,2041,2.9872248460799997
REGION1,S03B1,ATE2,2041,28.90229807434
REGION1,S03B2,ATE2,2041,129.67912969351
REGION1,S03B3,ATE2,2041,20.65506988052
REGION1,S04B1,ATE2,2041,8.532575012979999
REGION1,S04B2,ATE2,2041,29.79471303185
REGION1,S04B3,ATE2,2041,4.85563858906
REGION1,S05B1,ATE2,2041,9.03045495434
REGION1,S05B2,ATE2,2041,30.49117021294
REGION1,S05B3,ATE2,2041,5.115140138379999
REGION1,S01B1,ATE2,2042,15.23739342609
REGION1,S01B2,ATE2,2042,51.45631116912
REGION1,S01B3,ATE2,2042,8.61021141695
REGION1,S02B1,ATE2,2042,8.264464558790001
REGION1,S02B2,ATE2,2042,29.17123473924
REGION1,S02B3,ATE2,2042,3.04703684736
REGION1,S03B1,ATE2,2042,29.48099716078
REGION1,S03B2,ATE2,2042,132.27564273517
REGION1,S03B3,ATE2,2042,21.06863803484
REGION1,S04B1,ATE2,2042,8.703419329659999
REGION1,S04B2,ATE2,2042,30.39128058395
REGION1,S04B3,ATE2,2042,4.95286108702
REGION1,S05B1,ATE2,2042,9.21126812078
REGION1,S05B2,ATE2,2042,31.10168264698
REGION1,S05B3,ATE2,2042,5.21755853146
REGION1,S01B1,ATE2,2043,15.53688932202
REGION1,S01B2,ATE2,2043,52.46770160736
REGION1,S01B3,ATE2,2043,8.7794479071
REGION1,S02B1,ATE2,2043,8.42690528262
REGION1,S02B2,ATE2,2043,29.74460479272
REGION1,S02B3,ATE2,2043,3.1069273420799997
REGION1,S03B1,ATE2,2043,30.060455694839998
REGION1,S03B2,ATE2,2043,134.87556327426
REGION1,S03B3,ATE2,2043,21.48274892952
