REGION,TECHNOLOGY,VALUE
REGION1,CZHYDMPH2,89.8530410811011
REGION1,CZHYDSPH2,7.288219448587972
REGION1,CZHYDSPH3,177.1749199730251
REGION1,CZNG00I00,0.6402189851487776
REGION1,CZNG00X00,194.74483639784015
REGION1,CZNGCCPH2,121.37765512135766
REGION1,CZNUG2PH3,3172.471303751812
REGION1,CZNUG3PN3,2460.669141330547
REGION1,CZSODIFH1,0.022903343723947246
REGION1,CZSOUTPH2,1155.5197641253508
REGION1,CZUR00I00,17070.105490733073
REGION1,CZWIONPH3,4738.013872540759
REGION1,CZWS00X00,2236.7953265261244
REGION1,CZWSCHPH2,20.214829635422227
REGION1,CZWSSTPH1,687.4245357658132
REGION1,DEBM00I00,2596.2154355904127
REGION1,DEBM00X00,36764.34444907694
REGION1,DEBMCHPH3,2.0871502685594114
REGION1,DEBMCSPN2,9335.284671487634
REGION1,DEBMSTPH3,5060.444266417951
REGION1,DECO00I00,436.2580868506428
REGION1,DECO00X00,20379.955412173575
REGION1,DECOCHPH3,1963.693395119052
REGION1,DECOSTPH3,7553.273160381798
REGION1,DEEL00TD0,121306.5087073216
REGION1,DEELDKPH1,2350.1396573786883
REGION1,DEELFRPH1,6234.078303998072
REGION1,DEELLUPH1,145.935036216032
REGION1,DEELNLPH1,5466.788898289165
REGION1,DEELNOPH1,1679.1327841127634
REGION1,DEELPLPH1,2724.0017703596022
REGION1,DEELSEPH1,752.1082906650042
REGION1,DEGO00X00,7611.097342797171
REGION1,DEGOCVPH2,1833.7967489339792
REGION1,DEHYDMPH1,174.41341550050248
REGION1,DEHYDMPH2,76.36632565086418
REGION1,DEHYDSPH2,877.7944438954538
REGION1,DEHYDSPH3,3312.4848451421017
REGION1,DENG00I00,16062.733541207428
REGION1,DENG00X00,9355.494329229532
REGION1,DENGCCPH2,15752.713684944083
REGION1,DENGCHPH3,1.6198576009301833
REGION1,DENGFCFH1,0.015298113934060357
REGION1,DENGSTPH2,4.125081558749184
REGION1,DENUG2PH3,1932.0655631616057
REGION1,DESODIFH1,0.31145594528053294
REGION1,DESOUTPH2,21241.684973759773
REGION1,DEUR00I00,5854.738276048613
REGION1,DEWIOFPH3,226.47385082533668
REGION1,DEWIOFPN2,538.4222635262931
REGION1,DEWIONPH3,4082.501724637553
REGION1,DEWIONPN3,24689.537370924925
REGION1,DEWS00X00,17427.748083963037
REGION1,DEWSCHPH2,549.2069595660159
REGION1,DEWSSTPH1,4950.553662018334
REGION1,DKBM00X00,3036.4369765331107
REGION1,DKBMCSPN2,834.9785343330807
REGION1,DKBMSTPH3,281.16116981163555
REGION1,DKCO00I00,478.1044404827245
REGION1,DKCOCHPH3,178.34942583877526
REGION1,DKCOSTPH1,13.636164700344208
REGION1,DKEL00TD0,8634.139285968526
REGION1,DKELNLPH1,682.5498774397488
REGION1,DKELNOPH1,3248.0339709442214
REGION1,DKELSEPH1,1277.3652892681166
REGION1,DKGO00X00,869.2878809186248
REGION1,DKGOCVPH2,206.871526231279
REGION1,DKHYDMPH0,1.1275205973917126
REGION1,DKHYDMPH3,2.4945133917252513
REGION1,DKNG00X00,59.02962128111364
REGION1,DKNGCCPH2,6.496069051001621
REGION1,DKNGCHPH3,15.585277737037444
REGION1,DKNGSTPH2,4.730399496273993
REGION1,DKOCWVPH1,0.07456683412296003
REGION1,DKSODIFH1,0.0029411907325744262
REGION1,DKSOUTPH2,586.7081913069524
REGION1,DKWIOFPH3,260.3058758644768
REGION1,DKWIONPH3,4419.074216720651
REGION1,DKWS00X00,1600.9512981677797
REGION1,DKWSCHPH2,67.93231324896801
REGION1,DKWSSTPH1,469.54731485968006
REGION1,EEBM00X00,971.7152727038781
REGION1,EEBMCSPN2,362.9039463655871
REGION1,EECO00X00,4.636079207565744
REGION1,EECOCHPH3,1.8763922269571176
REGION1,EEEL00TD0,1925.240886717474
REGION1,EEELFIPH1,1203.8616987026035
REGION1,EEELLVPH1,141.53094206217554
REGION1,EEGO00X00,2.1586434036168614
REGION1,EEGOCVPH2,0.5327664178649554
REGION1,EEHFSTPH3,195.53397931913278
REGION1,EEHYDMPH1,3.4748427011358314
REGION1,EEHYDMPH3,4.757282595855399
REGION1,EEOI00X00,414.38055801946797
REGION1,EESOUTPH2,25.53208131453539
REGION1,EEWIONPH3,67.83659659484775
REGION1,EEWS00X00,645.5778495182833
REGION1,EEWSCHPH2,9.579911568720338
REGION1,EEWSSTPH1,189.13705711730123
REGION1,ESBM00X00,8575.794087292392
REGION1,ESBMCHPH3,0.04251333305191036
REGION1,ESBMCSPN2,2930.9146848427285
REGION1,ESBMSTPH3,248.1493610431956
REGION1,ESCO00I00,1509.1014400061056
REGION1,ESCO00X00,1131.5435295973202
REGION1,ESCOCHPH3,4.959035977207174
REGION1,ESCOSTPH3,1227.7331311445485
REGION1,ESEL00TD0,58693.59555662855
REGION1,ESELFRPH1,2984.231846799092
REGION1,ESELPTPH1,3053.403043281989
REGION1,ESGO00X00,159.1828445925703
REGION1,ESGOCVPH2,36.256301682975156
REGION1,ESHF00I00,0.05941746688223182
REGION1,ESHFCCPH2,0.03683890314479002
REGION1,ESHYDMPH1,286.74642155377023
REGION1,ESHYDMPH2,699.3408040204664
