REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATHYDMPH1,ATHY,1,2016,11.594195598493982
REGION1,ATHYDMPH1,ATHY,1,2017,11.348928540052924
REGION1,ATHYDMPH1,ATHY,1,2018,10.912492054892017
REGION1,ATHYDMPH1,ATHY,1,2019,10.815760628176555
REGION1,ATHYDMPH1,ATHY,1,2020,10.814256176364738
REGION1,ATHYDMPH1,ATHY,1,2021,10.701403050644265
REGION1,ATHYDMPH1,ATHY,1,2022,10.701402913464971
REGION1,ATHYDMPH1,ATHY,1,2023,10.701403050644265
REGION1,ATHYDMPH1,ATHY,1,2024,10.650529630540252
REGION1,ATHYDMPH1,ATHY,1,2025,10.650529630540252
REGION1,ATHYDMPH1,ATHY,1,2026,10.646946995321596
REGION1,ATHYDMPH1,ATHY,1,2027,10.646946995321596
REGION1,ATHYDMPH1,ATHY,1,2028,10.642576180354963
REGION1,ATHYDMPH1,ATHY,1,2029,10.571640003026777
REGION1,ATHYDMPH1,ATHY,1,2030,10.403470972505819
REGION1,ATHYDMPH1,ATHY,1,2031,10.396305922307512
REGION1,ATHYDMPH1,ATHY,1,2032,10.396305835428766
REGION1,ATHYDMPH1,ATHY,1,2033,10.265897913471992
REGION1,ATHYDMPH1,ATHY,1,2034,10.183855566966221
REGION1,ATHYDMPH1,ATHY,1,2035,10.16235975565459
REGION1,ATHYDMPH1,ATHY,1,2036,10.138571180864611
REGION1,ATHYDMPH1,ATHY,1,2037,10.125888567253924
REGION1,ATHYDMPH1,ATHY,1,2038,10.113134470503853
REGION1,ATHYDMPH1,ATHY,1,2039,10.09249837575314
REGION1,ATHYDMPH1,ATHY,1,2040,10.056600486068225
REGION1,ATHYDMPH1,ATHY,1,2041,10.015758399353645
REGION1,ATHYDMPH1,ATHY,1,2042,9.899322677905447
REGION1,ATHYDMPH1,ATHY,1,2043,9.8993227980629
REGION1,ATHYDMPH1,ATHY,1,2044,9.80452610623788
REGION1,ATHYDMPH1,ATHY,1,2045,9.376472894103854
REGION1,ATHYDMPH1,ATHY,1,2046,9.27042689163348
REGION1,ATHYDMPH1,ATHY,1,2047,9.155925870047215
REGION1,ATHYDMPH1,ATHY,1,2048,9.10089659308962
REGION1,ATHYDMPH1,ATHY,1,2049,8.936023720329926
REGION1,ATHYDMPH1,ATHY,1,2050,8.889091198966343
REGION1,ATHYDMPH1,ATHY,1,2051,8.797089221187875
REGION1,ATHYDMPH1,ATHY,1,2052,8.632287906497536
REGION1,ATHYDMPH1,ATHY,1,2053,8.573747647025721
REGION1,ATHYDMPH1,ATHY,1,2054,8.458745056508855
REGION1,ATHYDMPH1,ATHY,1,2055,8.027395806413784
REGION1,ATHYDMPH1,ATHY,1,2056,8.00296220399934
REGION1,ATHYDMPH1,ATHY,1,2057,7.832285462185531
REGION1,ATHYDMPH1,ATHY,1,2058,7.6939957427478145
REGION1,ATHYDMPH1,ATHY,1,2059,7.689911538598615
REGION1,ATHYDMPH1,ATHY,1,2060,7.6137447138512995
REGION1,ATHYDMPH2,ATHY,1,2015,51.51378080206824
REGION1,ATHYDMPH2,ATHY,1,2016,51.51378109257719
REGION1,ATHYDMPH2,ATHY,1,2017,51.35614398560167
REGION1,ATHYDMPH2,ATHY,1,2018,51.27732704312472
REGION1,ATHYDMPH2,ATHY,1,2019,51.11969006295992
REGION1,ATHYDMPH2,ATHY,1,2020,51.11969099888099
REGION1,ATHYDMPH2,ATHY,1,2021,51.11969122716359
REGION1,ATHYDMPH2,ATHY,1,2022,51.1196913751072
REGION1,ATHYDMPH2,ATHY,1,2023,49.60781842043685
REGION1,ATHYDMPH2,ATHY,1,2024,48.60468111546709
REGION1,ATHYDMPH2,ATHY,1,2025,48.60468089841564
REGION1,ATHYDMPH2,ATHY,1,2026,48.60468126542417
REGION1,ATHYDMPH2,ATHY,1,2027,48.60468023452213
REGION1,ATHYDMPH2,ATHY,1,2028,48.4599428333338
REGION1,ATHYDMPH2,ATHY,1,2029,47.89531948134386
REGION1,ATHYDMPH2,ATHY,1,2030,47.392317208269304
REGION1,ATHYDMPH2,ATHY,1,2031,47.3923167997522
REGION1,ATHYDMPH2,ATHY,1,2032,45.8646810730253
REGION1,ATHYDMPH2,ATHY,1,2033,45.43476469587159
REGION1,ATHYDMPH2,ATHY,1,2034,44.635836887841734
REGION1,ATHYDMPH2,ATHY,1,2035,43.9525567095767
REGION1,ATHYDMPH2,ATHY,1,2036,43.13929852109672
REGION1,ATHYDMPH2,ATHY,1,2037,42.32338918257507
REGION1,ATHYDMPH2,ATHY,1,2038,41.41440379717841
REGION1,ATHYDMPH2,ATHY,1,2039,40.68999414604733
REGION1,ATHYDMPH2,ATHY,1,2040,40.510862386470244
REGION1,ATHYDMPH2,ATHY,1,2041,39.80006817035219
REGION1,ATHYDMPH2,ATHY,1,2042,38.5382644268011
REGION1,ATHYDMPH2,ATHY,1,2043,37.46404685179888
REGION1,ATHYDMPH2,ATHY,1,2044,34.447968824187235
REGION1,ATHYDMPH2,ATHY,1,2045,33.76927482393574
REGION1,ATHYDMPH2,ATHY,1,2046,32.163537322485276
REGION1,ATHYDMPH2,ATHY,1,2047,31.638323387850914
REGION1,ATHYDMPH2,ATHY,1,2048,30.331735950519594
REGION1,ATHYDMPH2,ATHY,1,2049,26.876642491647814
REGION1,ATHYDMPH2,ATHY,1,2050,24.95025963362215
REGION1,ATHYDMPH2,ATHY,1,2051,23.942106017663917
REGION1,ATHYDMPH2,ATHY,1,2052,22.071970523046613
REGION1,ATHYDMPH2,ATHY,1,2053,22.071970523046613
REGION1,ATHYDMPH2,ATHY,1,2054,20.145229318581244
REGION1,ATHYDMPH2,ATHY,1,2055,19.06234201941362
REGION1,ATHYDMPH2,ATHY,1,2056,16.146077232677918
REGION1,ATHYDMPH2,ATHY,1,2057,16.146076962879256
REGION1,ATHYDMPH2,ATHY,1,2058,15.508367899296397
REGION1,ATHYDMPH2,ATHY,1,2059,12.873697981550363
REGION1,ATHYDMPH2,ATHY,1,2060,12.772810974637482
REGION1,ATHYDMPH3,ATHY,1,2015,9.78059427692035
REGION1,ATHYDMPH3,ATHY,1,2016,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2017,9.780594073120021
REGION1,ATHYDMPH3,ATHY,1,2018,9.780594084682281
REGION1,ATHYDMPH3,ATHY,1,2019,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2020,9.780594164141926
REGION1,ATHYDMPH3,ATHY,1,2021,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2022,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2023,9.780594071711384
REGION1,ATHYDMPH3,ATHY,1,2024,9.780594071711384
REGION1,ATHYDMPH3,ATHY,1,2025,9.780594071711384
REGION1,ATHYDMPH3,ATHY,1,2026,9.780594071711384
REGION1,ATHYDMPH3,ATHY,1,2027,9.78059414676124
REGION1,ATHYDMPH3,ATHY,1,2028,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2029,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2030,9.78059414676124
REGION1,ATHYDMPH3,ATHY,1,2031,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2032,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2033,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2034,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2035,9.780594265477573
REGION1,ATHYDMPH3,ATHY,1,2036,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2037,9.780594071711384
REGION1,ATHYDMPH3,ATHY,1,2038,9.78059414010196
REGION1,ATHYDMPH3,ATHY,1,2039,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2040,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2041,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2042,9.780594034886851
REGION1,ATHYDMPH3,ATHY,1,2043,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2044,9.780594265477573
REGION1,ATHYDMPH3,ATHY,1,2045,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2046,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2047,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2048,9.780594265477573
REGION1,ATHYDMPH3,ATHY,1,2049,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2050,9.780594065062328
REGION1,ATHYDMPH3,ATHY,1,2051,9.780594034886851
REGION1,ATHYDMPH3,ATHY,1,2052,9.780594065062328
