REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,S01B1,DKEL00TD0,1,DKE2,2015,96.45140963052862
REGION1,S01B1,DKEL00TD0,1,DKE2,2016,96.00468021425509
REGION1,S01B1,DKEL00TD0,1,DKE2,2017,95.56637965489237
REGION1,S01B1,DKEL00TD0,1,DKE2,2018,95.12807909552964
REGION1,S01B1,DKEL00TD0,1,DKE2,2019,94.68977853616697
REGION1,S01B1,DKEL00TD0,1,DKE2,2020,94.25990683371506
REGION1,S01B1,DKEL00TD0,1,DKE2,2021,96.46826734435027
REGION1,S01B1,DKEL00TD0,1,DKE2,2022,98.6934855688071
REGION1,S01B1,DKEL00TD0,1,DKE2,2023,100.92713265017474
REGION1,S01B1,DKEL00TD0,1,DKE2,2024,103.16920858845322
REGION1,S01B1,DKEL00TD0,1,DKE2,2025,105.42814224055334
REGION1,S01B1,DKEL00TD0,1,DKE2,2026,107.29091961784485
REGION1,S01B1,DKEL00TD0,1,DKE2,2027,109.15369699513639
REGION1,S01B1,DKEL00TD0,1,DKE2,2028,111.01647437242788
REGION1,S01B1,DKEL00TD0,1,DKE2,2029,112.88768060663023
REGION1,S01B1,DKEL00TD0,1,DKE2,2030,114.75888684083257
REGION1,S01B1,DKEL00TD0,1,DKE2,2031,119.361042714141
REGION1,S01B1,DKEL00TD0,1,DKE2,2032,123.98848515818194
REGION1,S01B1,DKEL00TD0,1,DKE2,2033,128.64964302986613
REGION1,S01B1,DKEL00TD0,1,DKE2,2034,133.3360874722828
REGION1,S01B1,DKEL00TD0,1,DKE2,2035,138.05624734234274
REGION1,S01B1,DKEL00TD0,1,DKE2,2036,142.59940121727547
REGION1,S01B1,DKEL00TD0,1,DKE2,2037,147.15941280602982
REGION1,S01B1,DKEL00TD0,1,DKE2,2038,151.73628210860576
REGION1,S01B1,DKEL00TD0,1,DKE2,2039,156.33843798191424
REGION1,S01B1,DKEL00TD0,1,DKE2,2040,160.9490227121335
REGION1,S01B1,DKEL00TD0,1,DKE2,2041,164.82629689111135
REGION1,S01B1,DKEL00TD0,1,DKE2,2042,168.71199992699997
REGION1,S01B1,DKEL00TD0,1,DKE2,2043,172.62298953362108
REGION1,S01B1,DKEL00TD0,1,DKE2,2044,176.55083685406382
REGION1,S01B1,DKEL00TD0,1,DKE2,2045,180.48711303141738
REGION1,S01B1,DKEL00TD0,1,DKE2,2046,184.43181806568177
REGION1,S01B1,DKEL00TD0,1,DKE2,2047,188.38495195685695
REGION1,S01B1,DKEL00TD0,1,DKE2,2048,192.35494356185382
REGION1,S01B1,DKEL00TD0,1,DKE2,2049,196.33336402376153
REGION1,S01B1,DKEL00TD0,1,DKE2,2050,200.33707105640167
REGION1,S01B1,DKEL00TD0,1,DKE2,2051,201.23895874585952
REGION1,S01B1,DKEL00TD0,1,DKE2,2052,202.14084643531737
REGION1,S01B1,DKEL00TD0,1,DKE2,2053,203.05116298168613
REGION1,S01B1,DKEL00TD0,1,DKE2,2054,203.96990838496563
REGION1,S01B1,DKEL00TD0,1,DKE2,2055,204.88022493133434
REGION1,S01B1,DKEL00TD0,1,DKE2,2056,205.87483004681127
REGION1,S01B1,DKEL00TD0,1,DKE2,2057,206.86100630537734
REGION1,S01B1,DKEL00TD0,1,DKE2,2058,207.8640402777651
REGION1,S01B1,DKEL00TD0,1,DKE2,2059,208.85864539324203
REGION1,S01B1,DKEL00TD0,1,DKE2,2060,209.8701082225406
REGION1,S01B1,DKELNOPH1,2,DKE1,2024,18.651289851009693
REGION1,S01B1,DKELNOPH1,2,DKE1,2025,33.50374774330904
REGION1,S01B1,DKELNOPH1,2,DKE1,2026,43.86124951051635
REGION1,S01B1,DKELNOPH1,2,DKE1,2027,72.27358378098272
REGION1,S01B1,DKELNOPH1,2,DKE1,2028,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2029,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2030,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2031,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2032,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2033,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2034,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2035,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2036,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2037,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2038,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2039,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2040,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2041,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2042,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2043,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2044,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2045,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2046,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2047,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2048,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2049,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2050,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2051,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2052,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2053,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2054,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2055,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2056,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2057,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2058,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2059,83.88575999999999
REGION1,S01B1,DKELNOPH1,2,DKE1,2060,83.88575999999999
