REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,S01B2,DKBM00X00,1,2025,21.27197886708348
REGION1,S02B1,DKBM00X00,1,2025,41.72695182729216
REGION1,S02B2,DKBM00X00,1,2025,41.72695182729217
REGION1,S02B3,DKBM00X00,1,2025,41.72695182729217
REGION1,S03B1,DKBM00X00,1,2025,41.72695182729216
REGION1,S03B2,DKBM00X00,1,2025,41.72695182729216
REGION1,S04B1,DKBM00X00,1,2025,41.72695182729216
REGION1,S04B2,DKBM00X00,1,2025,24.77846660263584
REGION1,S04B3,DKBM00X00,1,2025,41.72695182729216
REGION1,S05B3,DKBM00X00,1,2025,41.72695182729217
REGION1,S01B1,DKBM00X00,1,2026,41.72695182729216
REGION1,S01B2,DKBM00X00,1,2026,41.72695182729216
REGION1,S01B3,DKBM00X00,1,2026,11.39547984617878
REGION1,S02B1,DKBM00X00,1,2026,41.72695182729216
REGION1,S02B2,DKBM00X00,1,2026,41.72695182729217
REGION1,S02B3,DKBM00X00,1,2026,41.72695182729217
REGION1,S03B1,DKBM00X00,1,2026,41.72695182729216
REGION1,S03B2,DKBM00X00,1,2026,27.87434641873464
REGION1,S03B3,DKBM00X00,1,2026,41.72695182729216
REGION1,S05B1,DKBM00X00,1,2026,41.72695182729217
REGION1,S05B2,DKBM00X00,1,2026,4.701946903566647
REGION1,S05B3,DKBM00X00,1,2026,41.72695182729217
REGION1,S01B2,DKBM00X00,1,2027,39.595316717476685
REGION1,S01B3,DKBM00X00,1,2027,41.72695182729216
REGION1,S02B2,DKBM00X00,1,2027,41.72695182729217
REGION1,S02B3,DKBM00X00,1,2027,41.72695182729217
REGION1,S03B1,DKBM00X00,1,2027,41.72695182729216
REGION1,S03B2,DKBM00X00,1,2027,41.72695182729216
REGION1,S04B1,DKBM00X00,1,2027,41.72695182729216
REGION1,S05B2,DKBM00X00,1,2027,19.058178559042315
REGION1,S01B1,DKBM00X00,1,2028,1.7298464360135102
REGION1,S01B2,DKBM00X00,1,2028,11.77634019698718
REGION1,S01B3,DKBM00X00,1,2028,1.7298464360135102
REGION1,S02B1,DKBM00X00,1,2028,1.7298464360135104
REGION1,S02B2,DKBM00X00,1,2028,43.45679826330568
REGION1,S03B1,DKBM00X00,1,2028,43.456798263305664
REGION1,S03B2,DKBM00X00,1,2028,43.45679826330568
REGION1,S03B3,DKBM00X00,1,2028,1.7298464360135106
REGION1,S04B1,DKBM00X00,1,2028,1.7298464360135104
REGION1,S04B2,DKBM00X00,1,2028,41.72695182729216
REGION1,S05B1,DKBM00X00,1,2028,41.72695182729217
REGION1,S05B2,DKBM00X00,1,2028,43.45679826330567
REGION1,S05B3,DKBM00X00,1,2028,1.7298464360135104
REGION1,S01B1,DKBM00X00,1,2029,47.60605689505376
REGION1,S01B2,DKBM00X00,1,2029,11.402922465159222
REGION1,S01B3,DKBM00X00,1,2029,5.879105067761598
REGION1,S02B1,DKBM00X00,1,2029,5.879105067761596
REGION1,S02B2,DKBM00X00,1,2029,47.60605689505377
REGION1,S03B1,DKBM00X00,1,2029,47.60605689505376
REGION1,S03B2,DKBM00X00,1,2029,47.606056895053754
REGION1,S03B3,DKBM00X00,1,2029,47.60605689505376
REGION1,S04B1,DKBM00X00,1,2029,5.879105067761596
REGION1,S05B2,DKBM00X00,1,2029,47.60605689505376
REGION1,S05B3,DKBM00X00,1,2029,5.879105067761598
REGION1,S01B1,DKBM00X00,1,2030,30.35806277912744
REGION1,S01B2,DKBM00X00,1,2030,64.91469117765794
REGION1,S01B3,DKBM00X00,1,2030,57.06507767888933
REGION1,S02B1,DKBM00X00,1,2030,2.480837956836042
REGION1,S02B2,DKBM00X00,1,2030,49.07593641114795
REGION1,S02B3,DKBM00X00,1,2030,36.619746785930886
REGION1,S03B1,DKBM00X00,1,2030,42.94186402163347
REGION1,S03B2,DKBM00X00,1,2030,52.4538698542348
REGION1,S03B3,DKBM00X00,1,2030,51.25711502205901
REGION1,S04B1,DKBM00X00,1,2030,16.48171467537037
REGION1,S04B2,DKBM00X00,1,2030,64.9146911776579
REGION1,S04B3,DKBM00X00,1,2030,16.8840591242898
REGION1,S05B1,DKBM00X00,1,2030,28.294944391727025
REGION1,S05B2,DKBM00X00,1,2030,64.9146911776579
REGION1,S05B3,DKBM00X00,1,2030,43.17101046502368
REGION1,S01B1,DKBM00X00,1,2031,29.077777919135887
REGION1,S01B2,DKBM00X00,1,2031,56.962277811339575
REGION1,S01B3,DKBM00X00,1,2031,48.20902029945277
REGION1,S02B1,DKBM00X00,1,2031,45.976363589245246
REGION1,S02B2,DKBM00X00,1,2031,57.26559147223204
REGION1,S02B3,DKBM00X00,1,2031,43.23336354117647
REGION1,S03B1,DKBM00X00,1,2031,29.077777919135887
REGION1,S03B2,DKBM00X00,1,2031,54.74686498111412
REGION1,S03B3,DKBM00X00,1,2031,59.71802480293106
REGION1,S04B1,DKBM00X00,1,2031,36.3640654103524
REGION1,S04B2,DKBM00X00,1,2031,60.6688400536458
REGION1,S04B3,DKBM00X00,1,2031,22.916767705332312
REGION1,S05B1,DKBM00X00,1,2031,29.077777919135887
REGION1,S05B2,DKBM00X00,1,2031,65.69752470506675
REGION1,S05B3,DKBM00X00,1,2031,29.07777791913589
REGION1,S01B1,DKBM00X00,1,2032,30.0745875440701
REGION1,S01B2,DKBM00X00,1,2032,66.69433433000097
REGION1,S01B3,DKBM00X00,1,2032,46.04971237175016
REGION1,S02B1,DKBM00X00,1,2032,44.34780138484525
REGION1,S02B2,DKBM00X00,1,2032,57.25351904474496
REGION1,S02B3,DKBM00X00,1,2032,36.61974678593088
REGION1,S03B1,DKBM00X00,1,2032,23.869102008603264
REGION1,S03B2,DKBM00X00,1,2032,56.25228079131534
REGION1,S03B3,DKBM00X00,1,2032,62.16601167869397
REGION1,S04B1,DKBM00X00,1,2032,17.106134161668766
REGION1,S04B2,DKBM00X00,1,2032,64.20353083681408
REGION1,S04B3,DKBM00X00,1,2032,8.82920016436749
REGION1,S05B1,DKBM00X00,1,2032,26.011958731545583
REGION1,S05B2,DKBM00X00,1,2032,66.69433433000097
REGION1,S05B3,DKBM00X00,1,2032,49.22459957920077
REGION1,S01B1,DKBM00X00,1,2033,26.870497926528326
REGION1,S01B2,DKBM00X00,1,2033,65.32393485588894
REGION1,S01B3,DKBM00X00,1,2033,44.78645817366479
REGION1,S02B2,DKBM00X00,1,2033,57.9773403574152
REGION1,S03B1,DKBM00X00,1,2033,31.313185943910995
REGION1,S03B2,DKBM00X00,1,2033,61.553149219046574
REGION1,S03B3,DKBM00X00,1,2033,65.17378796933387
REGION1,S04B1,DKBM00X00,1,2033,14.008493907919023
REGION1,S04B2,DKBM00X00,1,2033,62.892258723479294
REGION1,S04B3,DKBM00X00,1,2033,67.93293272984187
REGION1,S05B2,DKBM00X00,1,2033,67.93293272984188
REGION1,S05B3,DKBM00X00,1,2033,48.82906826437844
REGION1,S01B2,DKBM00X00,1,2034,69.44901439290946
REGION1,S01B3,DKBM00X00,1,2034,36.84519368157652
REGION1,S02B1,DKBM00X00,1,2034,69.44901439290946
REGION1,S02B2,DKBM00X00,1,2034,51.8629538634132
REGION1,S02B3,DKBM00X00,1,2034,54.64840920428816
REGION1,S03B1,DKBM00X00,1,2034,21.952984602524957
REGION1,S03B2,DKBM00X00,1,2034,61.29720430851084
REGION1,S03B3,DKBM00X00,1,2034,69.44901439290946
REGION1,S04B1,DKBM00X00,1,2034,36.61974678593088
REGION1,S04B2,DKBM00X00,1,2034,69.44901439290946
REGION1,S04B3,DKBM00X00,1,2034,10.969740971290062
REGION1,S05B1,DKBM00X00,1,2034,32.82926760697858
REGION1,S05B2,DKBM00X00,1,2034,69.4490143929092
REGION1,S05B3,DKBM00X00,1,2034,39.82569330598199
REGION1,S01B1,DKBM00X00,1,2035,34.668885040176335
REGION1,S01B2,DKBM00X00,1,2035,71.28863182610722
REGION1,S01B3,DKBM00X00,1,2035,71.2886318261072
REGION1,S02B2,DKBM00X00,1,2035,33.886492198918106
REGION1,S02B3,DKBM00X00,1,2035,37.06723843434366
REGION1,S03B1,DKBM00X00,1,2035,14.868006721623988
REGION1,S03B2,DKBM00X00,1,2035,64.84764896596113
REGION1,S03B3,DKBM00X00,1,2035,71.28863182610723
REGION1,S04B1,DKBM00X00,1,2035,71.2886318261072
REGION1,S04B2,DKBM00X00,1,2035,71.28863182610722
REGION1,S04B3,DKBM00X00,1,2035,36.61974678593088
REGION1,S05B1,DKBM00X00,1,2035,36.61974678593088
REGION1,S05B2,DKBM00X00,1,2035,71.28863182610716
REGION1,S05B3,DKBM00X00,1,2035,36.61974678593087
REGION1,S01B1,DKBM00X00,1,2036,36.890640513702245
REGION1,S01B2,DKBM00X00,1,2036,73.51038729963312
REGION1,S01B3,DKBM00X00,1,2036,73.51038729963312
REGION1,S02B1,DKBM00X00,1,2036,73.51038729963312
REGION1,S02B2,DKBM00X00,1,2036,17.76775579822985
REGION1,S03B1,DKBM00X00,1,2036,36.89064051370224
REGION1,S03B2,DKBM00X00,1,2036,65.21840506433703
REGION1,S03B3,DKBM00X00,1,2036,54.256402645633045
REGION1,S04B1,DKBM00X00,1,2036,73.51038729963312
REGION1,S04B2,DKBM00X00,1,2036,63.69729982799921
REGION1,S04B3,DKBM00X00,1,2036,36.61974678593088
REGION1,S05B1,DKBM00X00,1,2036,36.61974678593088
REGION1,S05B2,DKBM00X00,1,2036,73.51038729963312
REGION1,S05B3,DKBM00X00,1,2036,36.61974678593087
REGION1,S01B1,DKBM00X00,1,2037,39.57001584752644
REGION1,S01B2,DKBM00X00,1,2037,76.1897626334573
REGION1,S01B3,DKBM00X00,1,2037,39.57001584752644
REGION1,S02B1,DKBM00X00,1,2037,36.61974678593088
REGION1,S02B2,DKBM00X00,1,2037,39.57001584752644
REGION1,S02B3,DKBM00X00,1,2037,39.57001584752643
REGION1,S03B1,DKBM00X00,1,2037,39.57001584752643
REGION1,S03B2,DKBM00X00,1,2037,70.29907131806375
REGION1,S03B3,DKBM00X00,1,2037,64.10290214487348
REGION1,S04B1,DKBM00X00,1,2037,76.1897626334573
REGION1,S04B2,DKBM00X00,1,2037,47.795526419460295
REGION1,S04B3,DKBM00X00,1,2037,36.61974678593088
REGION1,S05B1,DKBM00X00,1,2037,36.61974678593088
REGION1,S05B2,DKBM00X00,1,2037,76.18976263345729
REGION1,S05B3,DKBM00X00,1,2037,36.61974678593087
REGION1,S01B2,DKBM00X00,1,2038,79.48014821625574
REGION1,S01B3,DKBM00X00,1,2038,79.48014821625574
REGION1,S02B1,DKBM00X00,1,2038,15.505477768599672
REGION1,S02B2,DKBM00X00,1,2038,42.860401430324885
REGION1,S02B3,DKBM00X00,1,2038,36.61974678593088
REGION1,S03B1,DKBM00X00,1,2038,42.860401430324885
REGION1,S03B2,DKBM00X00,1,2038,79.48014821625577
REGION1,S03B3,DKBM00X00,1,2038,79.48014821625577
REGION1,S04B1,DKBM00X00,1,2038,42.860401430324885
REGION1,S04B2,DKBM00X00,1,2038,52.44814326227239
REGION1,S04B3,DKBM00X00,1,2038,42.860401430324885
REGION1,S05B1,DKBM00X00,1,2038,42.860401430324885
REGION1,S05B2,DKBM00X00,1,2038,70.47084722891529
REGION1,S05B3,DKBM00X00,1,2038,36.61974678593087
REGION1,S01B1,DKBM00X00,1,2039,23.449207455288573
REGION1,S01B2,DKBM00X00,1,2039,84.71195028610121
REGION1,S01B3,DKBM00X00,1,2039,84.7119502861012
REGION1,S02B1,DKBM00X00,1,2039,48.092203500170335
REGION1,S02B2,DKBM00X00,1,2039,48.092203500170335
REGION1,S02B3,DKBM00X00,1,2039,84.71195028610121
REGION1,S03B1,DKBM00X00,1,2039,84.71195028610121
REGION1,S03B2,DKBM00X00,1,2039,84.71195028610119
REGION1,S03B3,DKBM00X00,1,2039,22.685571726581543
REGION1,S04B1,DKBM00X00,1,2039,26.763534543719395
REGION1,S04B2,DKBM00X00,1,2039,68.79029668579321
REGION1,S05B2,DKBM00X00,1,2039,65.58625543822897
REGION1,S05B3,DKBM00X00,1,2039,36.61974678593087
REGION1,S01B2,DKBM00X00,1,2040,91.897485447593
REGION1,S01B3,DKBM00X00,1,2040,30.346252292050785
REGION1,S02B1,DKBM00X00,1,2040,25.862081038330956
REGION1,S02B2,DKBM00X00,1,2040,79.33976292908595
REGION1,S02B3,DKBM00X00,1,2040,78.4446766605845
REGION1,S03B1,DKBM00X00,1,2040,77.9303006112367
REGION1,S03B2,DKBM00X00,1,2040,91.89748544759308
REGION1,S03B3,DKBM00X00,1,2040,55.27773866166214
REGION1,S04B2,DKBM00X00,1,2040,77.34808251708
REGION1,S04B3,DKBM00X00,1,2040,39.1928309330864
REGION1,S05B2,DKBM00X00,1,2040,91.897485447593
REGION1,S05B3,DKBM00X00,1,2040,44.40802338250437
REGION1,S01B2,DKBM00X00,1,2041,99.65457840288595
REGION1,S01B3,DKBM00X00,1,2041,41.67857557018812
REGION1,S02B1,DKBM00X00,1,2041,63.03483161695508
REGION1,S02B2,DKBM00X00,1,2041,99.65457840288595
REGION1,S03B1,DKBM00X00,1,2041,79.13749641497905
REGION1,S03B2,DKBM00X00,1,2041,99.65457840288595
REGION1,S03B3,DKBM00X00,1,2041,96.26525818045776
REGION1,S04B2,DKBM00X00,1,2041,66.85651918838226
REGION1,S05B2,DKBM00X00,1,2041,98.4730941025824
REGION1,S01B2,DKBM00X00,1,2042,94.7632012889493
REGION1,S01B3,DKBM00X00,1,2042,71.66773030176063
REGION1,S02B1,DKBM00X00,1,2042,54.769934446514014
REGION1,S02B2,DKBM00X00,1,2042,107.52682952833985
REGION1,S02B3,DKBM00X00,1,2042,71.66773030176063
REGION1,S03B1,DKBM00X00,1,2042,81.42114287893878
REGION1,S03B2,DKBM00X00,1,2042,107.52682952833985
REGION1,S03B3,DKBM00X00,1,2042,99.9512993509487
REGION1,S04B2,DKBM00X00,1,2042,81.84202826356487
REGION1,S05B2,DKBM00X00,1,2042,107.52682952833982
REGION1,S05B3,DKBM00X00,1,2042,71.78047383563093
REGION1,S01B2,DKBM00X00,1,2043,86.40001400915406
REGION1,S01B3,DKBM00X00,1,2043,38.105160100961605
REGION1,S02B1,DKBM00X00,1,2043,47.66531340052656
REGION1,S02B2,DKBM00X00,1,2043,95.37255949128937
REGION1,S02B3,DKBM00X00,1,2043,50.50263867349626
REGION1,S03B1,DKBM00X00,1,2043,95.37255949128931
REGION1,S03B2,DKBM00X00,1,2043,95.37255949128931
REGION1,S03B3,DKBM00X00,1,2043,95.37255949128937
REGION1,S04B2,DKBM00X00,1,2043,94.03792881910067
REGION1,S04B3,DKBM00X00,1,2043,34.02388397510367
REGION1,S05B2,DKBM00X00,1,2043,81.24624767475814
REGION1,S05B3,DKBM00X00,1,2043,7.500993630419805
REGION1,S01B2,DKBM00X00,1,2044,91.84261327619349
REGION1,S01B3,DKBM00X00,1,2044,54.66674982392574
REGION1,S02B1,DKBM00X00,1,2044,57.5526573644689
REGION1,S02B2,DKBM00X00,1,2044,91.84261327619349
REGION1,S02B3,DKBM00X00,1,2044,91.84261327619349
REGION1,S03B1,DKBM00X00,1,2044,91.8426132761935
REGION1,S03B2,DKBM00X00,1,2044,91.84261327619349
REGION1,S03B3,DKBM00X00,1,2044,91.8426132761935
REGION1,S04B2,DKBM00X00,1,2044,85.1240091981017
REGION1,S05B2,DKBM00X00,1,2044,91.8426132761935
REGION1,S05B3,DKBM00X00,1,2044,3.5139943741480444
REGION1,S01B2,DKBM00X00,1,2045,106.19765737815558
REGION1,S01B3,DKBM00X00,1,2045,18.365674807598413
REGION1,S02B1,DKBM00X00,1,2045,67.56578123872715
REGION1,S02B2,DKBM00X00,1,2045,112.36032228776514
REGION1,S02B3,DKBM00X00,1,2045,73.82254777827187
REGION1,S03B1,DKBM00X00,1,2045,112.36032228776514
REGION1,S03B2,DKBM00X00,1,2045,112.36032228776511
REGION1,S03B3,DKBM00X00,1,2045,103.53025111784514
REGION1,S04B2,DKBM00X00,1,2045,112.36032228776511
REGION1,S04B3,DKBM00X00,1,2045,14.747340866616884
REGION1,S05B2,DKBM00X00,1,2045,112.36032228776514
REGION1,S05B3,DKBM00X00,1,2045,46.71599484802682
REGION1,S01B2,DKBM00X00,1,2046,115.74910597872083
REGION1,S01B3,DKBM00X00,1,2046,31.266082926683683
REGION1,S02B2,DKBM00X00,1,2046,115.74910597872082
REGION1,S02B3,DKBM00X00,1,2046,85.22327525370704
REGION1,S03B1,DKBM00X00,1,2046,115.74910597872083
