VALUE
DKBF
DKBM
DKCO
DKE1
DKE2
DKGO
DKHF
DKNG
DKOI
DKUR
DKWS
FIBF
FIBM
FICO
FIE1
FIE2
FIGO
FIHF
FING
FIOI
FIUR
FIWS
NOBF
NOBM
NOCO
NOE1
NOE2
NOHF
NONG
NOOI
NOUR
NOWS
SEBF
SEBM
SECO
SEE1
SEE2
SEGO
SEHF
SENG
SEOI
SEUR
SEWS
