REGION,STORAGE,YEAR,VALUE
REGION1,NOHGSTPN2,2054,0.0026577616059894884
REGION1,NOHGSTPN2,2055,0.0032333592696082818
REGION1,NOHGSTPN2,2056,0.001197808928461956
