REGION,STORAGE,SEASON,YEAR,VALUE
REGION1,DKHGSTPN2,5,2015,0.021565698767799436
REGION1,DKHGSTPN2,5,2016,0.021565698767799457
REGION1,DKHGSTPN2,5,2017,0.021565698767799436
REGION1,DKHGSTPN2,5,2018,0.021565698767799436
REGION1,DKHGSTPN2,5,2019,0.021565698767799436
REGION1,DKHGSTPN2,5,2020,0.02156569876779943
REGION1,DKHGSTPN2,5,2021,0.021565698767799436
REGION1,DKHGSTPN2,5,2022,0.02156569876779943
REGION1,DKHGSTPN2,5,2023,0.02156569876779943
REGION1,DKHGSTPN2,5,2024,0.02156569876779943
REGION1,DKHGSTPN2,5,2025,0.02156569876779943
REGION1,DKHGSTPN2,5,2026,0.021565698767799436
REGION1,DKHGSTPN2,5,2027,0.02156569876779943
REGION1,DKHGSTPN2,5,2028,0.021565698767799436
REGION1,DKHGSTPN2,5,2029,0.021565698767799436
REGION1,DKHGSTPN2,5,2030,0.02156569876779943
REGION1,DKHGSTPN2,5,2031,0.021565698767799436
REGION1,DKHGSTPN2,5,2032,0.02097687349348177
REGION1,DKHGSTPN2,5,2033,0.017993959622870724
REGION1,DKHGSTPN2,5,2034,0.015990438098665943
REGION1,DKHGSTPN2,5,2035,0.013987608571565526
REGION1,DKHGSTPN2,5,2036,0.011984779533400934
REGION1,DKHGSTPN2,5,2037,0.009981950495581794
REGION1,DKHGSTPN2,5,2038,0.007979121457762903
REGION1,DKHGSTPN2,5,2039,0.006318474041974073
REGION1,DKHGSTPN2,5,2040,0.003984478195638061
REGION1,DKHGSTPN2,5,2041,0.0019706421269064
REGION1,NOHGSTPN2,1,2059,2.6559303730166917e-05
REGION1,NOHGSTPN2,1,2060,0.0037083703705672096
REGION1,NOHGSTPN2,2,2054,0.0034824475054618703
REGION1,NOHGSTPN2,2,2055,0.007669293133690636
REGION1,NOHGSTPN2,2,2056,0.009203151760432605
REGION1,NOHGSTPN2,2,2058,0.009203151760432605
REGION1,NOHGSTPN2,2,2059,0.009203151760432605
REGION1,NOHGSTPN2,2,2060,0.009203151760432605
REGION1,NOHGSTPN2,3,2057,0.007669293133693267
REGION1,NOHGSTPN2,5,2054,2.607367122739664e-09
REGION1,NOHGSTPN2,5,2055,5.7421289887321606e-09
REGION1,NOHGSTPN2,5,2056,1.1484262019878836e-08
REGION1,NOHGSTPN2,5,2058,0.0011875974525424832
REGION1,NOHGSTPN2,5,2059,0.009203151760432605
REGION1,NOHGSTPN2,5,2060,0.009203151760432605
