REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,S02B2,DKE2,2022,8.616662350110001
REGION1,S02B3,DKE2,2022,0.88577812206
REGION1,S03B1,DKE2,2022,8.843924672910001
REGION1,S03B2,DKE2,2022,40.02057211086
REGION1,S03B3,DKE2,2022,6.4514365289999995
REGION1,S04B1,DKE2,2022,2.5235052968700002
REGION1,S04B2,DKE2,2022,9.47017339542
REGION1,S04B3,DKE2,2022,1.48970586078
REGION1,S05B1,DKE2,2022,2.61811635867
REGION1,S05B2,DKE2,2022,9.64493420148
REGION1,S05B3,DKE2,2022,1.58236854498
REGION1,S01B1,DKE2,2023,4.42420213444
REGION1,S01B2,DKE2,2023,16.098782804979997
REGION1,S01B3,DKE2,2023,2.62221068696
REGION1,S02B1,DKE2,2023,2.3621368438399997
REGION1,S02B2,DKE2,2023,8.81167605946
REGION1,S02B3,DKE2,2023,0.9058251971599999
REGION1,S03B1,DKE2,2023,9.04408182026
REGION1,S03B2,DKE2,2023,40.926324233959996
REGION1,S03B3,DKE2,2023,6.597446494
REGION1,S04B1,DKE2,2023,2.58061768082
REGION1,S04B2,DKE2,2023,9.68450390612
REGION1,S04B3,DKE2,2023,1.52342112708
REGION1,S05B1,DKE2,2023,2.67736999562
REGION1,S05B2,DKE2,2023,9.86321992728
REGION1,S05B3,DKE2,2023,1.61818096828
REGION1,S01B1,DKE2,2024,4.522484894400001
REGION1,S01B2,DKE2,2024,16.4564140248
REGION1,S01B3,DKE2,2024,2.6804625696
REGION1,S02B1,DKE2,2024,2.4146112384
REGION1,S02B2,DKE2,2024,9.0074256696
REGION1,S02B3,DKE2,2024,0.9259479216000001
REGION1,S03B1,DKE2,2024,9.2449942776
REGION1,S03B2,DKE2,2024,41.8354942896
REGION1,S03B3,DKE2,2024,6.74400744
REGION1,S04B1,DKE2,2024,2.6379455832
REGION1,S04B2,DKE2,2024,9.8996432112
REGION1,S04B3,DKE2,2024,1.5572636208000001
REGION1,S05B1,DKE2,2024,2.7368472312
REGION1,S05B2,DKE2,2024,10.0823293728
REGION1,S05B3,DKE2,2024,1.6541285328000002
REGION1,S01B1,DKE2,2025,4.62150662248
REGION1,S01B2,DKE2,2025,16.81673420116
REGION1,S01B3,DKE2,2025,2.73915243632
REGION1,S02B1,DKE2,2025,2.4674801772799997
REGION1,S02B2,DKE2,2025,9.204647081320001
REGION1,S02B3,DKE2,2025,0.94622194472
REGION1,S03B1,DKE2,2025,9.44741735492
REGION1,S03B2,DKE2,2025,42.751500210319996
REGION1,S03B3,DKE2,2025,6.891670348
REGION1,S04B1,DKE2,2025,2.6957045224400003
REGION1,S04B2,DKE2,2025,10.11640010504
REGION1,S04B3,DKE2,2025,1.59136056936
REGION1,S05B1,DKE2,2025,2.79677166404
REGION1,S05B2,DKE2,2025,10.30308625776
REGION1,S05B3,DKE2,2025,1.69034637976
REGION1,S01B1,DKE2,2026,4.703162599740001
REGION1,S01B2,DKE2,2026,17.11386389883
REGION1,S01B3,DKE2,2026,2.78754967716
REGION1,S02B1,DKE2,2026,2.51107732464
REGION1,S02B2,DKE2,2026,9.367281155910002
REGION1,S02B3,DKE2,2026,0.96294044886
REGION1,S03B1,DKE2,2026,9.61434086271
REGION1,S03B2,DKE2,2026,43.50686330166
REGION1,S03B3,DKE2,2026,7.013437149
REGION1,S04B1,DKE2,2026,2.7433340954700003
REGION1,S04B2,DKE2,2026,10.295143663020001
REGION1,S04B3,DKE2,2026,1.61947782918
REGION1,S05B1,DKE2,2026,2.8461869612700004
REGION1,S05B2,DKE2,2026,10.48512831588
REGION1,S05B3,DKE2,2026,1.72021258938
REGION1,S01B1,DKE2,2027,4.784818577
REGION1,S01B2,DKE2,2027,17.4109935965
REGION1,S01B3,DKE2,2027,2.835946918
REGION1,S02B1,DKE2,2027,2.554674472
REGION1,S02B2,DKE2,2027,9.5299152305
REGION1,S02B3,DKE2,2027,0.9796589529999999
REGION1,S03B1,DKE2,2027,9.7812643705
REGION1,S03B2,DKE2,2027,44.262226393
REGION1,S03B3,DKE2,2027,7.135203949999999
REGION1,S04B1,DKE2,2027,2.7909636685000003
REGION1,S04B2,DKE2,2027,10.473887221
REGION1,S04B3,DKE2,2027,1.647595089
REGION1,S05B1,DKE2,2027,2.8956022585000003
REGION1,S05B2,DKE2,2027,10.667170374
REGION1,S05B3,DKE2,2027,1.750078799
REGION1,S01B1,DKE2,2028,4.866474554260001
REGION1,S01B2,DKE2,2028,17.70812329417
REGION1,S01B3,DKE2,2028,2.88434415884
REGION1,S02B1,DKE2,2028,2.59827161936
REGION1,S02B2,DKE2,2028,9.692549305090001
REGION1,S02B3,DKE2,2028,0.99637745714
REGION1,S03B1,DKE2,2028,9.948187878290002
REGION1,S03B2,DKE2,2028,45.01758948434
REGION1,S03B3,DKE2,2028,7.256970751
REGION1,S04B1,DKE2,2028,2.8385932415300004
REGION1,S04B2,DKE2,2028,10.65263077898
REGION1,S04B3,DKE2,2028,1.67571234882
REGION1,S05B1,DKE2,2028,2.9450175557300002
REGION1,S05B2,DKE2,2028,10.849212432120002
REGION1,S05B3,DKE2,2028,1.7799450086200002
REGION1,S01B1,DKE2,2029,4.9485000155800005
REGION1,S01B2,DKE2,2029,18.00659747011
REGION1,S01B3,DKE2,2029,2.93296039172
REGION1,S02B1,DKE2,2029,2.64206603888
REGION1,S02B2,DKE2,2029,9.855919280470001
REGION1,S02B3,DKE2,2029,1.01317161062
REGION1,S03B1,DKE2,2029,10.11586669607
REGION1,S03B2,DKE2,2029,45.77637050822
REGION1,S03B3,DKE2,2029,7.379288533
REGION1,S04B1,DKE2,2029,2.88643833299
REGION1,S04B2,DKE2,2029,10.83218313134
REGION1,S04B3,DKE2,2029,1.7039568360600001
REGION1,S05B1,DKE2,2029,2.99465645159
REGION1,S05B2,DKE2,2029,11.032078209960002
REGION1,S05B3,DKE2,2029,1.80994635946
REGION1,S01B1,DKE2,2030,5.0305254769
REGION1,S01B2,DKE2,2030,18.30507164605
REGION1,S01B3,DKE2,2030,2.9815766245999997
REGION1,S02B1,DKE2,2030,2.6858604584
REGION1,S02B2,DKE2,2030,10.019289255850001
REGION1,S02B3,DKE2,2030,1.0299657641
REGION1,S03B1,DKE2,2030,10.283545513850001
REGION1,S03B2,DKE2,2030,46.5351515321
REGION1,S03B3,DKE2,2030,7.501606315
REGION1,S04B1,DKE2,2030,2.9342834244500002
REGION1,S04B2,DKE2,2030,11.0117354837
REGION1,S04B3,DKE2,2030,1.7322013233000002
REGION1,S05B1,DKE2,2030,3.0442953474500003
REGION1,S05B2,DKE2,2030,11.2149439878
REGION1,S05B3,DKE2,2030,1.8399477103000001
REGION1,S01B1,DKE2,2031,5.232263773660001
REGION1,S01B2,DKE2,2031,19.039156781470002
REGION1,S01B3,DKE2,2031,3.10114627844
REGION1,S02B1,DKE2,2031,2.79357105776
REGION1,S02B2,DKE2,2031,10.421091087190002
REGION1,S02B3,DKE2,2031,1.07127030374
REGION1,S03B1,DKE2,2031,10.695944768390001
REGION1,S03B2,DKE2,2031,48.401342698940006
REGION1,S03B3,DKE2,2031,7.8024419410000005
REGION1,S04B1,DKE2,2031,3.0519564872300005
REGION1,S04B2,DKE2,2031,11.453337215180001
REGION1,S04B3,DKE2,2031,1.8016674946200002
REGION1,S05B1,DKE2,2031,3.1663801994300003
REGION1,S05B2,DKE2,2031,11.664694954920002
REGION1,S05B3,DKE2,2031,1.91373481642
REGION1,S01B1,DKE2,2032,5.4351105226000005
REGION1,S01B2,DKE2,2032,19.7772753517
REGION1,S01B3,DKE2,2032,3.2213729084
REGION1,S02B1,DKE2,2032,2.9018734736
REGION1,S02B2,DKE2,2032,10.8251006209
REGION1,S02B3,DKE2,2032,1.1128017914
REGION1,S03B1,DKE2,2032,11.110609952899999
REGION1,S03B2,DKE2,2032,50.2777876634
REGION1,S03B3,DKE2,2032,8.104930509999999
REGION1,S04B1,DKE2,2032,3.1702761053
REGION1,S04B2,DKE2,2032,11.8973653298
REGION1,S04B3,DKE2,2032,1.8715153482
REGION1,S05B1,DKE2,2032,3.2891358473
REGION1,S05B2,DKE2,2032,12.1169170812
REGION1,S05B3,DKE2,2032,1.9879273462
REGION1,S01B1,DKE2,2033,5.63943520778
REGION1,S01B2,DKE2,2033,20.52077183501
REGION1,S01B3,DKE2,2033,3.3424755065199996
REGION1,S02B1,DKE2,2033,3.0109649780799996
REGION1,S02B2,DKE2,2033,11.23205375777
REGION1,S02B3,DKE2,2033,1.15463587642
REGION1,S03B1,DKE2,2033,11.52829637737
REGION1,S03B2,DKE2,2033,52.167904358019996
REGION1,S03B3,DKE2,2033,8.409623003
REGION1,S04B1,DKE2,2033,3.28945779709
REGION1,S04B2,DKE2,2033,12.34462862194
REGION1,S04B3,DKE2,2033,1.94187211146
REGION1,S05B1,DKE2,2033,3.41278588969
