REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DKHGSRPH2,DKPM25,2025,0.004725066926430326
REGION1,DKHGSRPH2,DKPM25,2026,0.006832384972021501
REGION1,DKHGSRPH2,DKPM25,2027,0.005729695633359608
REGION1,DKHGSRPH2,DKPM25,2028,0.007378317118223551
REGION1,DKHGSRPH2,DKPM25,2029,0.008754695092413459
REGION1,DKHGSRPH2,DKPM25,2030,0.007944468654777133
REGION1,DKHGSRPH2,DKPM25,2031,0.009321335282230048
REGION1,DKHGSRPH2,DKPM25,2032,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2033,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2034,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2035,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2036,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2037,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2038,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2039,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2040,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2041,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2042,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2043,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2044,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2045,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2046,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2047,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2048,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2049,0.010745479288367997
REGION1,DKHGSRPH2,DKPM25,2050,0.010745479288367997
REGION1,DKHYDMPH0,DKHO,2015,0.07999994796426124
REGION1,DKHYDMPH0,DKHO,2016,0.07999995404822358
REGION1,DKHYDMPH0,DKHO,2017,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2018,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2019,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2020,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2021,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2022,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2023,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2024,0.022035465121181885
REGION1,DKHYDMPH0,DKHO,2025,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2026,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2027,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2028,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2029,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2030,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2031,0.02203546422782084
REGION1,DKHYDMPH0,DKHO,2032,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2033,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2034,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2035,0.022035464404726098
REGION1,DKHYDMPH0,DKHO,2036,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2037,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2038,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2039,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2040,0.022035464786333354
REGION1,DKHYDMPH0,DKHO,2041,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2042,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2043,0.022035464300473824
REGION1,DKHYDMPH0,DKHO,2044,0.022035464300475156
REGION1,DKHYDMPH0,DKHO,2045,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2046,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2047,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2048,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2049,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2050,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2051,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2052,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2053,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2054,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2055,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2056,0.022035464599131836
REGION1,DKHYDMPH0,DKHO,2057,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2058,0.022035465036420364
REGION1,DKHYDMPH0,DKHO,2059,0.0210155903610234
REGION1,DKHYDMPH0,DKHO,2060,0.0210155903610234
REGION1,DKHYDMPH3,DKHO,2018,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,2019,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,2020,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,2021,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,2022,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,2023,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,2024,0.05796450325609789
REGION1,DKHYDMPH3,DKHO,2025,0.057964503256091426
REGION1,DKHYDMPH3,DKHO,2026,0.057964503256090864
REGION1,DKHYDMPH3,DKHO,2027,0.057964503256090885
REGION1,DKHYDMPH3,DKHO,2028,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,2029,0.05796450325609088
REGION1,DKHYDMPH3,DKHO,2030,0.05796450325609073
REGION1,DKHYDMPH3,DKHO,2031,0.05796450325609087
REGION1,DKHYDMPH3,DKHO,2032,0.05796450325609181
REGION1,DKHYDMPH3,DKHO,2033,0.05796450325609115
REGION1,DKHYDMPH3,DKHO,2034,0.05796450325609204
REGION1,DKHYDMPH3,DKHO,2035,0.0579645030757709
REGION1,DKHYDMPH3,DKHO,2036,0.057964503075770904
REGION1,DKHYDMPH3,DKHO,2037,0.057964503256090864
REGION1,DKHYDMPH3,DKHO,2038,0.057964503256098865
REGION1,DKHYDMPH3,DKHO,2039,0.057964503256090864
REGION1,DKHYDMPH3,DKHO,2040,0.057964503256090864
REGION1,DKHYDMPH3,DKHO,2041,0.05796450520279983
REGION1,DKHYDMPH3,DKHO,2042,0.05796450520279982
REGION1,DKHYDMPH3,DKHO,2043,0.05796450326689471
REGION1,DKHYDMPH3,DKHO,2044,0.0579645032668853
REGION1,DKHYDMPH3,DKHO,2045,0.057964505202737264
REGION1,DKHYDMPH3,DKHO,2046,0.05796450520281187
REGION1,DKHYDMPH3,DKHO,2047,0.057964505202818976
REGION1,DKHYDMPH3,DKHO,2048,0.05796450520279984
REGION1,DKHYDMPH3,DKHO,2049,0.057964505202804766
REGION1,DKHYDMPH3,DKHO,2050,0.05796450520279984
REGION1,DKHYDMPH3,DKHO,2051,0.057964505202804766
REGION1,DKHYDMPH3,DKHO,2052,0.057964505202799825
REGION1,DKHYDMPH3,DKHO,2053,0.057964505202799825
REGION1,DKHYDMPH3,DKHO,2054,0.057964505202799825
REGION1,DKHYDMPH3,DKHO,2055,0.05796450520192014
REGION1,DKHYDMPH3,DKHO,2056,0.057964505202799825
REGION1,DKHYDMPH3,DKHO,2057,0.05796450520279983
REGION1,DKHYDMPH3,DKHO,2058,0.05796450520279984
REGION1,DKHYDMPH3,DKHO,2059,0.05898437946114746
REGION1,DKHYDMPH3,DKHO,2060,0.05898437946114744
REGION1,DKNG00I00,CO2,2040,143.27727875720694
REGION1,DKNG00I00,CO2,2041,423.9251241433507
REGION1,DKNG00I00,CO2,2042,703.397540917715
REGION1,DKNG00I00,CO2,2043,983.3141843747748
REGION1,DKNG00I00,CO2,2044,1263.1891514960432
REGION1,DKNG00I00,CO2,2045,1543.069053493583
REGION1,DKNG00I00,CO2,2046,1875.583405970252
REGION1,DKNG00I00,CO2,2047,1698.487466289455
REGION1,DKNG00I00,CO2,2048,2031.824842242777
REGION1,DKNG00I00,CO2,2049,2365.1571890844907
REGION1,DKNG00I00,CO2,2050,3205.646048678908
REGION1,DKNG00I00,CO2,2051,3034.4772536955707
REGION1,DKNG00I00,CO2,2052,3382.451185966862
REGION1,DKNG00I00,CO2,2053,3685.2610174307797
REGION1,DKNG00I00,CO2,2054,4000.8904582934597
REGION1,DKNG00I00,CO2,2055,4310.536490061449
REGION1,DKNG00I00,CO2,2056,4614.553651359132
REGION1,DKNG00I00,CO2,2057,4913.280903344008
REGION1,DKNG00I00,CO2,2058,5207.034195683804
REGION1,DKNG00I00,CO2,2059,5496.115841458372
REGION1,DKNG00I00,CO2,2060,5780.796446060551
REGION1,DKNG00X00,CO2,2015,553.2027283712648
REGION1,DKNG00X00,CO2,2016,553.2028409056753
REGION1,DKNG00X00,CO2,2017,502.9115289823382
REGION1,DKNG00X00,CO2,2018,452.6205400525654
REGION1,DKNG00X00,CO2,2019,402.32921066171997
REGION1,DKNG00X00,CO2,2020,352.038181579569
REGION1,DKNG00X00,CO2,2021,291.53391954219063
REGION1,DKNG00X00,CO2,2022,546.8782367913387
REGION1,DKNG00X00,CO2,2023,891.3578601842761
REGION1,DKNG00X00,CO2,2024,900.2266906705938
REGION1,DKNG00X00,CO2,2025,909.0952206200751
REGION1,DKNG00X00,CO2,2026,867.5111725118104
REGION1,DKNG00X00,CO2,2027,876.5460112868992
REGION1,DKNG00X00,CO2,2028,885.5837339757079
REGION1,DKNG00X00,CO2,2029,377.563468572011
REGION1,DKNG00X00,CO2,2030,903.6534462482673
REGION1,DKNG00X00,CO2,2031,868.4920510841661
REGION1,DKNG00X00,CO2,2032,1335.2547419355192
REGION1,DKNG00X00,CO2,2033,1550.5039832578645
REGION1,DKNG00X00,CO2,2034,1766.0099757971964
REGION1,DKNG00X00,CO2,2035,1981.4412897128004
REGION1,DKNG00X00,CO2,2036,2196.872729244565
REGION1,DKNG00X00,CO2,2037,2412.3041176218544
REGION1,DKNG00X00,CO2,2038,2627.7355227068965
REGION1,DKNG00X00,CO2,2039,2844.3525714735474
REGION1,DKNG00X00,CO2,2040,2914.1362805692593
REGION1,DKNG00X00,CO2,2041,2849.285831616286
REGION1,DKNG00X00,CO2,2042,2784.430159383827
REGION1,DKNG00X00,CO2,2043,2719.57967623362
REGION1,DKNG00X00,CO2,2044,2654.729089525469
REGION1,DKNG00X00,CO2,2045,2589.8735961806065
REGION1,DKNG00X00,CO2,2046,2472.3835932873644
REGION1,DKNG00X00,CO2,2047,2354.893336443909
REGION1,DKNG00X00,CO2,2048,2237.3982962055934
REGION1,DKNG00X00,CO2,2049,2119.908285078883
REGION1,DKNG00X00,CO2,2050,2002.418516923751
REGION1,DKNG00X00,CO2,2051,1882.27289189781
REGION1,DKNG00X00,CO2,2052,1769.333294393295
REGION1,DKNG00X00,CO2,2053,1663.1737995926112
REGION1,DKNG00X00,CO2,2054,1563.3866944449355
REGION1,DKNG00X00,CO2,2055,1469.5829983919507
REGION1,DKNG00X00,CO2,2056,1381.4081728092694
REGION1,DKNG00X00,CO2,2057,1298.5232565394017
REGION1,DKNG00X00,CO2,2058,1220.612299914606
REGION1,DKNG00X00,CO2,2059,1147.3729898550441
REGION1,DKNG00X00,CO2,2060,1078.5347209678657
REGION1,DKNGCCPH2,DKPM25,2015,0.000155150813929904
REGION1,DKNGCCPH2,DKPM25,2016,0.0001551508180745154
REGION1,DKNGCCPH2,DKPM25,2017,0.00015515080687707747
REGION1,DKNGCCPH2,DKPM25,2018,0.0001551508089405968
REGION1,DKNGCCPH2,DKPM25,2019,0.0001551508191290203
REGION1,DKNGCCPH2,DKPM25,2020,0.00015515081214410794
REGION1,DKNGCCPH2,DKPM25,2022,0.0005874103851132086
REGION1,DKNGCCPH2,DKPM25,2023,0.0013934062463522453
REGION1,DKNGCCPH2,DKPM25,2024,0.0013934065646088209
REGION1,DKNGCCPH2,DKPM25,2025,0.0013934064274910396
REGION1,DKNGCCPH2,DKPM25,2026,0.0012706366763640057
REGION1,DKNGCCPH2,DKPM25,2027,0.001270636670124956
