REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
REGION1,DKBMSTPH3,1,2019,DKBM,S04B1,45.93659903770317
REGION1,DKBMSTPH3,1,2019,DKBM,S04B2,45.93659903770317
REGION1,DKBMSTPH3,1,2019,DKBM,S05B2,45.93659903770317
REGION1,DKBMSTPH3,1,2019,DKBM,S05B3,45.93659903770317
REGION1,DKBMSTPH3,1,2020,DKBM,S01B1,45.93659903770317
REGION1,DKBMSTPH3,1,2020,DKBM,S01B2,45.93659903770317
REGION1,DKBMSTPH3,1,2020,DKBM,S01B3,45.93659903770317
REGION1,DKBMSTPH3,1,2020,DKBM,S02B2,45.93659903770317
REGION1,DKBMSTPH3,1,2020,DKBM,S03B1,22.70284146845992
REGION1,DKBMSTPH3,1,2020,DKBM,S03B2,24.28283047634049
REGION1,DKBMSTPH3,1,2020,DKBM,S03B3,45.93659903770317
REGION1,DKBMSTPH3,1,2020,DKBM,S04B2,45.93659903770317
REGION1,DKBMSTPH3,1,2020,DKBM,S05B1,45.93659903770317
REGION1,DKBMSTPH3,1,2020,DKBM,S05B2,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S01B3,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S02B2,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S02B3,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S03B1,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S03B2,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S03B3,8.534561286412341
REGION1,DKBMSTPH3,1,2021,DKBM,S04B1,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S04B3,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S05B1,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S05B2,45.93659903770317
REGION1,DKBMSTPH3,1,2021,DKBM,S05B3,45.93659903770317
REGION1,DKBMSTPH3,1,2022,DKBM,S01B2,45.93659903770317
REGION1,DKBMSTPH3,1,2022,DKBM,S02B2,45.93659903770317
REGION1,DKBMSTPH3,1,2022,DKBM,S02B3,45.93659903770317
REGION1,DKBMSTPH3,1,2022,DKBM,S03B2,37.27641526533028
REGION1,DKBMSTPH3,1,2022,DKBM,S03B3,45.93659903770317
REGION1,DKBMSTPH3,1,2022,DKBM,S04B1,45.93659903770317
REGION1,DKBMSTPH3,1,2022,DKBM,S04B2,45.93659903770317
REGION1,DKBMSTPH3,1,2022,DKBM,S05B2,45.93659903770317
REGION1,DKBMSTPH3,1,2022,DKBM,S05B3,45.93659903770317
REGION1,DKBMSTPH3,1,2023,DKBM,S01B1,32.89691355264087
REGION1,DKBMSTPH3,1,2023,DKBM,S01B2,32.89691355264087
REGION1,DKBMSTPH3,1,2023,DKBM,S02B2,32.89691355264087
REGION1,DKBMSTPH3,1,2023,DKBM,S02B3,32.89691355264087
REGION1,DKBMSTPH3,1,2023,DKBM,S03B1,32.89691355264087
