name,group,indexes,min_value_base_year,max_value_base_year,min_value_end_year,max_value_end_year,dist,interpolation_index,action
CapitalCost,cost_ccs_fossil,"REGION1,NONGCSPN2",5800.0,5800.0,4698.964475,6357.422525,unif,YEAR,interpolate
CapitalCost,cost_ccs_fossil,"REGION1,NOCOCSPN2",5800.0,5800.0,4698.964475,6357.422525,unif,YEAR,interpolate
CapitalCost,cost_ccs_fossil,"REGION1,SENGCSPN2",5800.0,5800.0,4698.964475,6357.422525,unif,YEAR,interpolate
CapitalCost,cost_ccs_fossil,"REGION1,SECOCSPN2",5800.0,5800.0,4698.964475,6357.422525,unif,YEAR,interpolate
FixedCost,cost_ccs_fossil,"REGION1,DKNGCSPN2",133.4,133.4,108.076182925,146.220718075,unif,YEAR,interpolate
FixedCost,cost_ccs_fossil,"REGION1,DKCOCSPN2",133.4,133.4,108.076182925,146.220718075,unif,YEAR,interpolate
FixedCost,cost_ccs_fossil,"REGION1,FINGCSPN2",133.4,133.4,108.076182925,146.220718075,unif,YEAR,interpolate
FixedCost,cost_ccs_fossil,"REGION1,FICOCSPN2",133.4,133.4,108.076182925,146.220718075,unif,YEAR,interpolate
FixedCost,cost_ccs_fossil,"REGION1,NONGCSPN2",133.4,133.4,108.076182925,146.220718075,unif,YEAR,interpolate
FixedCost,cost_ccs_fossil,"REGION1,NOCOCSPN2",133.4,133.4,108.076182925,146.220718075,unif,YEAR,interpolate
FixedCost,cost_ccs_fossil,"REGION1,SENGCSPN2",133.4,133.4,108.076182925,146.220718075,unif,YEAR,interpolate
FixedCost,cost_ccs_fossil,"REGION1,SECOCSPN2",133.4,133.4,108.076182925,146.220718075,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,DKHFGCPN3",534.7490675,534.7490675,508.011614125,561.486520875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,DKNGCHPN3",1005.745375,1005.745375,917.6181812499999,1014.20956875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,DKNGGCPN2",534.7490675,534.7490675,508.011614125,561.486520875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,FIHFGCPN3",534.7490675,534.7490675,508.011614125,561.486520875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,FINGCHPN3",1005.745375,1005.745375,917.6181812499999,1014.20956875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,FINGGCPN2",534.7490675,534.7490675,508.011614125,561.486520875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,NOHFGCPN3",534.7490675,534.7490675,508.011614125,561.486520875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,NONGCHPN3",1005.745375,1005.745375,917.6181812499999,1014.20956875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,NONGGCPN2",534.7490675,534.7490675,508.011614125,561.486520875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,SEHFGCPN3",534.7490675,534.7490675,508.011614125,561.486520875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,SENGCHPN3",1005.745375,1005.745375,917.6181812499999,1014.20956875,unif,YEAR,interpolate
CapitalCost,cost_fossil,"REGION1,SENGGCPN2",534.7490675,534.7490675,508.011614125,561.486520875,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,DKHFGCPN3",16.04247202,16.04247202,15.240348419,16.844595621,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,DKNGCHPN3",39.22406963,39.22406963,41.3716272445,45.7265353755,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,DKNGGCPN2",16.04247202,16.04247202,15.240348419,16.844595621,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,FIHFGCPN3",16.04247202,16.04247202,15.240348419,16.844595621,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,FINGCHPN3",39.22406963,39.22406963,41.3716272445,45.7265353755,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,FINGGCPN2",16.04247202,16.04247202,15.240348419,16.844595621,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,NOHFGCPN3",16.04247202,16.04247202,15.240348419,16.844595621,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,NONGCHPN3",39.22406963,39.22406963,41.3716272445,45.7265353755,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,NONGGCPN2",16.04247202,16.04247202,15.240348419,16.844595621,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,SEHFGCPN3",16.04247202,16.04247202,15.240348419,16.844595621,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,SENGCHPN3",39.22406963,39.22406963,41.3716272445,45.7265353755,unif,YEAR,interpolate
FixedCost,cost_fossil,"REGION1,SENGGCPN2",16.04247202,16.04247202,15.240348419,16.844595621,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,DKHFGCPN3,1",0.01122,0.01122,0.010659,0.011781,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,DKNGCHPN3,1",0.0040799999999999,0.0040799999999999,0.003875999999999905,0.004283999999999895,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,DKNGGCPN2,1",0.01122,0.01122,0.010659,0.011781,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,FIHFGCPN3,1",0.01122,0.01122,0.010659,0.011781,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,FINGCHPN3,1",0.0040799999999999,0.0040799999999999,0.003875999999999905,0.004283999999999895,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,FINGGCPN2,1",0.01122,0.01122,0.010659,0.011781,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,NOHFGCPN3,1",0.01122,0.01122,0.010659,0.011781,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,NONGCHPN3,1",0.0040799999999999,0.0040799999999999,0.003875999999999905,0.004283999999999895,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,NONGGCPN2,1",0.01122,0.01122,0.010659,0.011781,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,SEHFGCPN3,1",0.01122,0.01122,0.010659,0.011781,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,SENGCHPN3,1",0.0040799999999999,0.0040799999999999,0.003875999999999905,0.004283999999999895,unif,YEAR,interpolate
VariableCost,cost_fossil,"REGION1,SENGGCPN2,1",0.01122,0.01122,0.010659,0.011781,unif,YEAR,interpolate
CapitalCost,cost_h2_BG,"REGION1,DKHGBGPN2",1848.084362068966,1848.084362068966,1663.27592586207,2032.892798275863,unif,YEAR,interpolate
CapitalCost,cost_h2_BG,"REGION1,FIHGBGPN2",1848.084362068966,1848.084362068966,1663.27592586207,2032.892798275863,unif,YEAR,interpolate
CapitalCost,cost_h2_BG,"REGION1,NOHGBGPN2",1848.084362068966,1848.084362068966,1663.27592586207,2032.892798275863,unif,YEAR,interpolate
CapitalCost,cost_h2_BG,"REGION1,SEHGBGPN2",1848.084362068966,1848.084362068966,1663.27592586207,2032.892798275863,unif,YEAR,interpolate
FixedCost,cost_h2_BG,"REGION1,DKHGBGPN2",175.7928103448276,175.7928103448276,158.2135293103448,193.3720913793103,unif,YEAR,interpolate
FixedCost,cost_h2_BG,"REGION1,FIHGBGPN2",175.7928103448276,175.7928103448276,158.2135293103448,193.3720913793103,unif,YEAR,interpolate
FixedCost,cost_h2_BG,"REGION1,NOHGBGPN2",175.7928103448276,175.7928103448276,158.2135293103448,193.3720913793103,unif,YEAR,interpolate
FixedCost,cost_h2_BG,"REGION1,SEHGBGPN2",175.7928103448276,175.7928103448276,158.2135293103448,193.3720913793103,unif,YEAR,interpolate
VariableCost,cost_h2_BG,"REGION1,DKHGBGPN2,1",0.8512185938248783,0.8512185938248783,0.7660967344423905,0.9363404532073663,unif,YEAR,interpolate
VariableCost,cost_h2_BG,"REGION1,FIHGBGPN2,1",0.8512185938248783,0.8512185938248783,0.7660967344423905,0.9363404532073663,unif,YEAR,interpolate
VariableCost,cost_h2_BG,"REGION1,NOHGBGPN2,1",0.8512185938248783,0.8512185938248783,0.7660967344423905,0.9363404532073663,unif,YEAR,interpolate
VariableCost,cost_h2_BG,"REGION1,SEHGBGPN2,1",0.8512185938248783,0.8512185938248783,0.7660967344423905,0.9363404532073663,unif,YEAR,interpolate
CapitalCost,cost_h2_EC,"REGION1,DKHGECPN2",1135.794413793104,1135.794413793104,281.9583465517242,344.6157568965518,unif,YEAR,interpolate
CapitalCost,cost_h2_EC,"REGION1,FIHGECPN2",1135.794413793104,1135.794413793104,281.9583465517242,344.6157568965518,unif,YEAR,interpolate
CapitalCost,cost_h2_EC,"REGION1,NOHGECPN2",1135.794413793104,1135.794413793104,281.9583465517242,344.6157568965518,unif,YEAR,interpolate
CapitalCost,cost_h2_EC,"REGION1,SEHGECPN2",1135.794413793104,1135.794413793104,281.9583465517242,344.6157568965518,unif,YEAR,interpolate
FixedCost,cost_h2_EC,"REGION1,DKHGECPN2",31.4199554524184,31.4199554524184,24.0299487568563,29.36993736949103,unif,YEAR,interpolate
FixedCost,cost_h2_EC,"REGION1,FIHGECPN2",31.4199554524184,31.4199554524184,24.0299487568563,29.36993736949103,unif,YEAR,interpolate
FixedCost,cost_h2_EC,"REGION1,NOHGECPN2",31.4199554524184,31.4199554524184,24.0299487568563,29.36993736949103,unif,YEAR,interpolate
FixedCost,cost_h2_EC,"REGION1,SEHGECPN2",31.4199554524184,31.4199554524184,24.0299487568563,29.36993736949103,unif,YEAR,interpolate
CapitalCost,cost_h2_FC,"REGION1,DKHGFCPN2",1962.534482758621,1962.534482758621,733.6911568965518,896.7336362068967,unif,YEAR,interpolate
CapitalCost,cost_h2_FC,"REGION1,FIHGFCPN2",1962.534482758621,1962.534482758621,733.6911568965518,896.7336362068967,unif,YEAR,interpolate
CapitalCost,cost_h2_FC,"REGION1,NOHGFCPN2",1962.534482758621,1962.534482758621,733.6911568965518,896.7336362068967,unif,YEAR,interpolate
CapitalCost,cost_h2_FC,"REGION1,SEHGFCPN2",1962.534482758621,1962.534482758621,733.6911568965518,896.7336362068967,unif,YEAR,interpolate
FixedCost,cost_h2_FC,"REGION1,DKHGFCPN2",9.753051724137933,9.753051724137933,8.77774655172414,10.72835689655173,unif,YEAR,interpolate
FixedCost,cost_h2_FC,"REGION1,FIHGFCPN2",9.753051724137933,9.753051724137933,8.77774655172414,10.72835689655173,unif,YEAR,interpolate
FixedCost,cost_h2_FC,"REGION1,NOHGFCPN2",9.753051724137933,9.753051724137933,8.77774655172414,10.72835689655173,unif,YEAR,interpolate
FixedCost,cost_h2_FC,"REGION1,SEHGFCPN2",9.753051724137933,9.753051724137933,8.77774655172414,10.72835689655173,unif,YEAR,interpolate
VariableCost,cost_h2_FC,"REGION1,DKHGFCPN2,1",0.1287417554540841,0.1287417554540841,0.1158675799086757,0.1416159309994925,unif,YEAR,interpolate
VariableCost,cost_h2_FC,"REGION1,FIHGFCPN2,1",0.1287417554540841,0.1287417554540841,0.1158675799086757,0.1416159309994925,unif,YEAR,interpolate
VariableCost,cost_h2_FC,"REGION1,NOHGFCPN2,1",0.1287417554540841,0.1287417554540841,0.1158675799086757,0.1416159309994925,unif,YEAR,interpolate
VariableCost,cost_h2_FC,"REGION1,SEHGFCPN2,1",0.1287417554540841,0.1287417554540841,0.1158675799086757,0.1416159309994925,unif,YEAR,interpolate
CapitalCost,cost_h2_SR,"REGION1,DKHGSRPN2",514.0571896551726,514.0571896551726,360.8985956896552,398.8879215517242,unif,YEAR,interpolate
CapitalCost,cost_h2_SR,"REGION1,FIHGSRPN2",514.0571896551726,514.0571896551726,360.8985956896552,398.8879215517242,unif,YEAR,interpolate
CapitalCost,cost_h2_SR,"REGION1,NOHGSRPN2",514.0571896551726,514.0571896551726,360.8985956896552,398.8879215517242,unif,YEAR,interpolate
CapitalCost,cost_h2_SR,"REGION1,SEHGSRPN2",514.0571896551726,514.0571896551726,360.8985956896552,398.8879215517242,unif,YEAR,interpolate
FixedCost,cost_h2_SR,"REGION1,DKHGSRPN2",20.16840813547623,20.16840813547623,14.05834971615976,15.53817600207131,unif,YEAR,interpolate
FixedCost,cost_h2_SR,"REGION1,FIHGSRPN2",20.16840813547623,20.16840813547623,14.05834971615976,15.53817600207131,unif,YEAR,interpolate
FixedCost,cost_h2_SR,"REGION1,NOHGSRPN2",20.16840813547623,20.16840813547623,14.05834971615976,15.53817600207131,unif,YEAR,interpolate
FixedCost,cost_h2_SR,"REGION1,SEHGSRPN2",20.16840813547623,20.16840813547623,14.05834971615976,15.53817600207131,unif,YEAR,interpolate
CapitalCost,cost_h2_ccs_BC,"REGION1,DKHGBCPN2",2448.491741379308,2448.491741379308,2081.217980172412,2815.765502586204,unif,YEAR,interpolate
CapitalCost,cost_h2_ccs_BC,"REGION1,FIHGBCPN2",2448.491741379308,2448.491741379308,2081.217980172412,2815.765502586204,unif,YEAR,interpolate
CapitalCost,cost_h2_ccs_BC,"REGION1,NOHGBCPN2",2448.491741379308,2448.491741379308,2081.217980172412,2815.765502586204,unif,YEAR,interpolate
CapitalCost,cost_h2_ccs_BC,"REGION1,SEHGBCPN2",2448.491741379308,2448.491741379308,2081.217980172412,2815.765502586204,unif,YEAR,interpolate
FixedCost,cost_h2_ccs_BC,"REGION1,DKHGBCPN2",230.0292931034483,230.0292931034483,195.524899137931,264.5336870689655,unif,YEAR,interpolate
